time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,phase
325632,-5.6397468824798125e-05,0.0596578679978847,5.064066499471664e-09,1580.0,0.0876489190733991,1
327680,-5.851776413692278e-05,0.1299088597297668,-1.955777406692505e-09,1590.0,0.0716052120245876,1
329728,-6.010718861944042e-05,0.0903334394097328,-1.6938429325819014e-09,1600.0,0.0783641204849118,1
331776,-5.600370818683587e-05,0.0032704826444387,3.044260665774345e-09,1610.0,0.0092180757594178,1
333824,-6.0851847956655546e-05,0.0091507453471422,-5.107722245156765e-09,1620.0,0.0612130128603894,1
335872,-5.75607262817357e-05,0.00479765702039,-7.817288860678673e-09,1630.0,0.0082069742929888,1
337920,-6.970391623326578e-05,0.00728490203619,-4.866160452365875e-09,1640.0,0.0236835121264448,1
339968,-5.928098448748642e-05,0.0008350614807568,-3.058812581002712e-08,1650.0,0.0457524371187901,1
342016,-5.804591382911895e-05,0.1282785534858703,7.508788257837296e-10,1660.0,0.1942583420895971,1
344064,-5.698233471775893e-05,0.0041098524816334,7.217749953269959e-10,1670.0,0.1231843072309857,1
346112,-6.300879922491732e-05,0.0257489085197448,-5.7334545999765404e-09,1680.0,0.0783107061230111,1
348160,-6.132698963483563e-05,0.0858793705701828,-1.9208528101444243e-10,1690.0,0.2283913357881829,1
350208,-6.059824431758898e-05,0.0087658055126667,-3.466266207396984e-09,1700.0,0.0319819180327613,1
352256,-6.197101110956282e-05,0.000446605408797,-4.3946783989667886e-10,1710.0,0.0136437679517257,1
354304,-7.351826461672317e-05,0.0662026107311248,8.032657206058503e-10,1720.0,0.1890072391601279,1
356352,-6.165468485050952e-05,0.0118568856269121,5.471520125865935e-10,1730.0,0.1049308124522212,1
358400,-6.172670173327788e-05,0.0124694434925913,-4.9115624278783796e-08,1740.0,0.0584432345829554,1
360448,-6.185367037687683e-05,0.0023492868058383,4.307366907596588e-10,1750.0,0.013053764039796,1
362496,-6.251730283111102e-05,0.0249832104891538,2.342858351767063e-10,1760.0,0.0211781000791233,1
364544,-6.127338110673008e-05,0.0381373316049575,7.683411240577696e-10,1770.0,0.2500624374835752,1
366592,-6.32072304142639e-05,0.0019439789466559,8.731149137020109e-12,1780.0,0.0367915996190276,1
368640,-6.486556130766986e-05,0.0367765091359615,-5.040783435106277e-09,1790.0,0.028361479864543,1
370688,-6.984611236475758e-05,0.0238944552838802,1.6065314412117003e-09,1800.0,0.0441772064838005,1
372736,-6.271171832850087e-05,0.0254663657397031,6.366753950715066e-08,1810.0,0.0277500964970386,1
374784,-6.450087266784976e-05,0.0212622378021478,-1.7796992324292663e-08,1820.0,0.030390317151614,1
376832,-6.452839015764766e-05,0.0040690270252525,2.0081643015146255e-09,1830.0,0.0611136968072969,1
378880,-6.689296633339836e-05,0.0008848754223436,-2.2351741790771484e-08,1840.0,0.0104846167734649,1
380928,-7.205573319879477e-05,0.0170929282903671,-7.398193702101707e-09,1850.0,0.0314215755788609,1
382976,-6.461289640355972e-05,0.0123565327376127,-2.3090979084372523e-08,1860.0,0.0214276336497277,1
385024,-6.647896689173649e-05,0.0060630505904555,-1.4435499906539915e-09,1870.0,0.034079765813658,1
387072,-6.744913234797423e-05,0.0031857017893344,-1.289299689233303e-08,1880.0,0.0564972458923875,1
