rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,phase,phase_learning_rate_start,phase_learning_rate_end
-3.22,0.0,258048,1048,126,246,256.0,0.0459255352907348,1250.0,0.0,0.0,0.0002359999999999,0.8615695238113403,-7.101334631443022e-10,0.0160452146083116,-0.000125921684048,0.2,1,0.0003,5e-05
-3.14,0.0,260096,1057,127,246,256.0,0.0244426465244032,1260.0,0.0,0.0,0.0002354879999999,0.8617141842842102,-6.938353180885315e-09,0.0029138100799173,-0.0001198470457893,0.2,1,0.0003,5e-05
-3.22,0.0,262144,1065,128,245,256.0,0.0219148027317714,1270.0,0.0,0.0,0.0002349759999999,0.8844632506370544,4.720641300082206e-09,0.0108639700338244,-0.0001199715183247,0.2,1,0.0003,5e-05
-2.94,0.0,264192,1074,129,245,256.0,0.0268026222198386,1280.0,0.0,0.0,0.0002344639999999,0.8367308378219604,-3.815512172877788e-09,0.0167641639709472,-0.0001202201545311,0.2,1,0.0003,5e-05
-2.82,0.0,266240,1083,130,245,256.0,0.0302178823956637,1290.0,0.0,0.0,0.0002339519999999,0.8541666865348816,-1.746229827404022e-09,0.0243857111781835,-0.0001203990439535,0.2,1,0.0003,5e-05
-2.84,0.0,268288,1092,131,245,256.0,0.0307856682236888,1300.0,0.0,0.0,0.0002334399999999,0.8035515546798706,4.062894731760025e-09,0.0312146563082933,-0.0001254879694897,0.2,1,0.0003,5e-05
-2.8,0.0,270336,1101,132,245,256.0,0.0854017332589137,1310.0,0.0,0.0,0.0002329279999999,0.7403051853179932,-1.280568540096283e-09,0.0539020895957946,-0.0001293519990213,0.2,1,0.0003,5e-05
-2.72,0.0,272384,1110,133,245,256.0,0.0290799459588015,1320.0,0.0,0.0,0.0002324159999999,0.7899667024612427,-4.295725375413894e-09,0.0168790370225906,-0.0001210066458043,0.2,1,0.0003,5e-05
-2.8,0.0,274432,1118,134,245,256.0,0.018981492723833,1330.0,0.0,0.0,0.0002319039999999,0.7855744361877441,-1.0244548320770262e-09,0.0004528278077486,-0.0001212969814332,0.2,1,0.0003,5e-05
-2.76,0.0,276480,1127,135,245,256.0,0.0806938241119496,1340.0,0.0,0.0,0.0002313919999999,0.8241896629333496,2.8230715543031685e-10,0.0644853413105011,-0.0001216320099956,0.2,1,0.0003,5e-05
-2.68,0.0,278528,1136,136,244,256.0,0.0669972776440772,1350.0,0.0,0.0,0.0002308799999999,0.7108083963394165,2.1944288164377214e-09,0.0292817186564207,-0.0001217939685375,0.2,1,0.0003,5e-05
-2.6,0.0,280576,1145,137,244,256.0,0.0228852435189764,1360.0,0.0,0.0,0.0002303679999999,0.6326572895050049,1.0535586625337602e-09,0.0032423820812255,-0.0001222074301949,0.2,1,0.0003,5e-05
-2.56,0.0,282624,1154,138,244,256.0,0.0303470206868951,1370.0,0.0,0.0,0.000229856,0.6970630884170532,-4.307366907596588e-09,0.0016614106716588,-0.0001229126852194,0.2,1,0.0003,5e-05
-2.56,0.0,284672,1163,139,244,256.0,0.0400225019169738,1380.0,0.0,0.0,0.0002293439999999,0.4730150103569031,-3.5506673157215116e-10,0.0109595237299799,-0.0001230342422786,0.2,1,0.0003,5e-05
-2.62,0.0,286720,1172,140,244,256.0,0.0290282057445438,1390.0,0.0,0.0,0.0002288319999999,0.7154811024665833,3.8999132812023164e-10,0.0128153255209326,-0.0001233608496477,0.2,1,0.0003,5e-05
-2.62,0.0,288768,1181,141,244,256.0,0.0538437582097685,1400.0,0.0,0.0,0.0002283199999999,0.6496285796165466,-5.355104804039e-10,0.0579393021762371,-0.0001277457517062,0.2,1,0.0003,5e-05
-2.68,0.0,290816,1190,142,244,256.0,0.0125688559492118,1410.0,0.0,0.0,0.0002278079999999,0.8400027751922607,-1.7869751900434492e-09,0.0013103816891089,-0.0001262711086383,0.2,1,0.0003,5e-05
-2.62,0.0,292864,1199,143,244,256.0,0.0631494735338492,1420.0,0.0,0.0,0.0002272959999999,0.6002955436706543,1.0069925338029862e-09,0.0694038122892379,-0.0001250629120477,0.2,1,0.0003,5e-05
-2.64,0.0,294912,1208,144,244,256.0,0.0173732374532846,1430.0,0.0,0.0,0.0002267839999999,0.7987252473831177,1.2179953046143055e-09,0.0049351002089679,-0.0001254479833733,0.2,1,0.0003,5e-05
-2.56,0.0,296960,1217,145,243,256.0,0.0214259102067444,1440.0,0.0,0.0,0.0002262719999999,0.8189263939857483,-2.019805833697319e-09,0.0038471508305519,-0.000125931718685,0.2,1,0.0003,5e-05
-2.6,0.0,299008,1226,146,243,256.0,0.0158965962822549,1450.0,0.0,0.0,0.0002257599999999,0.3591330051422119,-1.4435499906539915e-09,0.0237480197101831,-0.0001265542832697,0.2,1,0.0003,5e-05
-2.64,0.0,301056,1235,147,243,256.0,0.0247332703638676,1460.0,-1.7753337e-09,0.0,0.0002252479999999,0.5023617744445801,-2.2247550077736377e-07,0.0170372631400823,-0.0001555348106194,0.2,1,0.0003,5e-05
-2.58,0.0,303104,1244,148,243,256.0,0.044975006225286,1470.0,-5.7625584e-09,0.0,0.0002247359999999,0.6844216585159302,-6.582122296094894e-08,0.0312401577830314,-0.0001670026627834,0.2,1,0.0003,5e-05
-2.58,0.0,305152,1253,149,243,256.0,0.0179637042951071,1480.0,0.0,0.0,0.0002242239999999,0.721899151802063,3.1696981750428674e-08,0.0024296683259308,-0.0001291261602091,0.2,1,0.0003,5e-05
-2.5,0.0,307200,1262,150,243,256.0,0.0696618150337599,1490.0,0.0,0.0,0.0002237119999999,0.3810444474220276,-1.5628756955266e-09,0.0322979539632797,-0.0001467163854613,0.2,1,0.0003,5e-05
-2.46,0.0,309248,1271,151,243,256.0,0.0156185335959889,1500.0,0.0,0.0,0.0002231999999999,0.711482048034668,-7.275957614183425e-10,0.0102627873420715,-0.0001303478278714,0.2,1,0.0003,5e-05
-2.56,0.0,311296,1279,152,243,256.0,0.0062323746769834,1510.0,0.0,0.0,0.0002226879999999,0.5915641784667969,6.688060238957405e-09,0.0018100007437169,-0.0001311609339609,0.2,1,0.0003,5e-05
-2.62,0.0,313344,1288,153,243,256.0,0.0414299316318647,1520.0,0.0,0.0,0.0002221759999999,0.4839476943016052,3.7252902984619143e-10,0.0294055752456188,-0.0001323458776823,0.2,1,0.0003,5e-05
-2.78,0.0,315392,1297,154,243,256.0,0.2304358570836484,1530.0,0.0,0.0,0.0002216639999999,0.4573829770088196,-5.646143108606337e-10,0.1503660976886749,-0.000139664089329,0.2,1,0.0003,5e-05
-2.86,0.0,317440,1306,155,242,256.0,0.1162038353970274,1540.0,-1.1641532e-10,0.0,0.0002211519999999,0.7229194641113281,-1.3700628187507393e-08,0.0911000967025756,-0.0001928545905684,0.2,1,0.0003,5e-05
-2.86,0.0,319488,1315,156,242,256.0,0.0949731882399646,1550.0,0.0,0.0,0.0002206399999999,0.726382851600647,1.8015271052718158e-09,0.0018459080019965,-0.0001336328974502,0.2,1,0.0003,5e-05
-2.84,0.0,321536,1324,157,242,256.0,0.0509590289584593,1560.0,0.0,0.0,0.0002201279999999,0.7574141025543213,1.5686964616179464e-09,0.0439264364540576,-0.0001341253493592,0.2,1,0.0003,5e-05
-2.84,0.0,323584,1333,158,242,256.0,0.029302126663606,1570.0,0.0,0.0,0.0002196159999999,0.7163326144218445,1.6589183360338212e-10,0.0020672644022852,-0.0001342818364719,0.2,1,0.0003,5e-05
-2.74,0.0,325632,1342,159,242,256.0,0.0143209896399639,1580.0,0.0,0.0,0.0002191039999999,0.6685062050819397,-4.371395334601402e-09,0.0064190248958766,-0.0001347509451079,0.2,1,0.0003,5e-05
-2.74,0.0,327680,1351,160,242,256.0,0.0287453447326697,1590.0,0.0,0.0,0.0002185919999999,0.6544018983840942,5.710171535611152e-09,0.0411216095089912,-0.0001364461430057,0.2,1,0.0003,5e-05
-2.64,0.0,329728,1360,161,242,256.0,0.0122684229103469,1600.0,0.0,0.0,0.0002180799999999,0.7289824485778809,-1.6124977264553307e-08,0.000951743859332,-0.0001397703135808,0.2,1,0.0003,5e-05
-2.68,0.0,331776,1369,162,242,256.0,0.0223787249480665,1610.0,0.0,0.0,0.0002175679999999,0.6420273184776306,3.3702235668897632e-09,0.0002139159041689,-0.0001389664423186,0.2,1,0.0003,5e-05
-2.92,0.0,333824,1378,163,242,256.0,0.1036891397787258,1620.0,0.0,0.0,0.0002170559999999,0.4971555471420288,2.4971086531877513e-09,0.0916089341044426,-0.0001399129041601,0.2,1,0.0003,5e-05
-3.1,0.0,335872,1387,164,242,256.0,0.1286145542282611,1630.0,0.0,0.0,0.0002165439999999,0.4842552542686462,-5.023321136832237e-09,0.0821805819869041,-0.0001847972900577,0.2,1,0.0003,5e-05
-3.0,0.0,337920,1396,165,241,256.0,0.0444071540609002,1640.0,0.0,0.0,0.0002160319999999,0.8161032795906067,2.9103830456733704e-11,0.0092841451987624,-0.0001418389863829,0.2,1,0.0003,5e-05
-2.76,0.0,339968,1407,166,241,256.0,0.0311725473002297,1650.0,0.0,0.0,0.0002155199999999,0.7493988275527954,-7.959897629916667e-10,0.0096753034740686,-0.0001432659442798,0.2,1,0.0003,5e-05
-2.76,0.0,342016,1416,167,241,256.0,0.0346188612733385,1660.0,0.0,0.0,0.0002150079999999,0.7058230638504028,1.1641532182693482e-11,0.022366028279066,-0.0001452316888389,0.2,1,0.0003,5e-05
-2.6,0.0,344064,1425,168,241,256.0,0.0613627961225574,1670.0,0.0,0.0,0.0002144959999999,0.6494560241699219,2.6775524020195005e-10,0.0058665564283728,-0.0001438341460016,0.2,1,0.0003,5e-05
-2.66,0.0,346112,1434,169,241,256.0,0.0320554525300394,1680.0,0.0,0.0,0.000213984,0.8282942175865173,-2.099841367453337e-09,0.0028262000996619,-0.0001450744008252,0.2,1,0.0003,5e-05
-2.66,0.0,348160,1443,170,241,256.0,0.028228926443262,1690.0,0.0,0.0,0.0002134719999999,0.7384299635887146,-1.746229827404022e-09,0.0165985096246004,-0.0001450527430279,0.2,1,0.0003,5e-05
-2.74,0.0,350208,1452,171,241,256.0,0.0376355220178084,1700.0,0.0,0.0,0.0002129599999999,0.6261783838272095,3.3760443329811095e-10,0.0315975397825241,-0.0001459827932194,0.2,1,0.0003,5e-05
-2.8,0.0,352256,1461,172,241,256.0,0.0137010423335595,1710.0,0.0,0.0,0.0002124479999999,0.7541927695274353,-4.016328603029251e-10,0.0049718962982296,-0.0001475192299039,0.2,1,0.0003,5e-05
-2.8,0.0,354304,1470,173,240,256.0,0.0408511119559989,1720.0,0.0,0.0,0.0002119359999999,0.5819879770278931,-5.849869921803475e-10,0.0008988484041765,-0.0001487569310484,0.2,1,0.0003,5e-05
-3.08,0.0,356352,1479,174,240,256.0,0.0108238044786958,1730.0,0.0,0.0,0.000211424,0.8062615394592285,2.741580829024315e-09,0.0019377428106963,-0.0001505590949818,0.2,1,0.0003,5e-05
-3.02,0.0,358400,1488,175,240,256.0,0.1616742757614702,1740.0,0.0,0.0,0.0002109119999999,0.5014897584915161,1.3096723705530167e-09,0.1374839842319488,-0.0001564587279062,0.2,1,0.0003,5e-05
