episode,r,l,is_success,dead_loop_events,wall_collision_count
196.0,-183.59999999999994,256.0,0.0,207.0,64.0
197.0,-194.99999999999994,256.0,0.0,234.0,59.0
198.0,-190.40000000000003,256.0,0.0,230.0,60.0
199.0,-215.39999999999998,256.0,0.0,216.0,39.0
200.0,-180.60000000000008,256.0,0.0,211.0,68.0
201.0,-208.0,256.0,0.0,234.0,56.0
202.0,-202.4,256.0,0.0,195.0,46.0
203.0,-188.20000000000005,256.0,0.0,234.0,63.0
204.0,-209.19999999999996,256.0,0.0,199.0,42.0
205.0,-201.60000000000002,256.0,0.0,221.0,52.0
206.0,-210.8,256.0,0.0,234.0,40.0
207.0,-203.79999999999998,256.0,0.0,220.0,45.0
208.0,-213.60000000000002,256.0,0.0,214.0,40.0
209.0,-218.8,256.0,0.0,196.0,48.0
210.0,-208.8,256.0,0.0,234.0,54.0
211.0,-204.99999999999997,256.0,0.0,224.0,55.0
212.0,-208.2,256.0,0.0,210.0,42.0
213.0,-182.2,256.0,0.0,234.0,69.0
214.0,-212.6,256.0,0.0,230.0,49.0
215.0,-200.6000000000001,256.0,0.0,205.0,40.0
216.0,-206.39999999999998,256.0,0.0,234.0,46.0
217.0,-218.39999999999992,256.0,0.0,234.0,42.0
218.0,-214.99999999999997,256.0,0.0,234.0,49.0
219.0,-201.60000000000002,256.0,0.0,203.0,62.0
220.0,-200.0,256.0,0.0,209.0,50.0
221.0,-214.79999999999998,256.0,0.0,224.0,48.0
222.0,-205.60000000000008,256.0,0.0,232.0,58.0
223.0,-193.80000000000004,256.0,0.0,224.0,58.0
224.0,-202.0,256.0,0.0,234.0,54.0
225.0,-191.8,256.0,0.0,234.0,71.0
226.0,-190.20000000000002,256.0,0.0,234.0,61.0
227.0,-205.39999999999998,256.0,0.0,225.0,49.0
228.0,-186.39999999999998,256.0,0.0,234.0,65.0
229.0,-201.40000000000003,256.0,0.0,234.0,51.0
230.0,-188.6,256.0,0.0,211.0,58.0
