r,l,t,is_success,dead_loop_events,wall_collision_count
1.0,256,180.880202,0.0,234.0,253.0
-1.0,256,181.832652,0.0,234.0,255.0
-1.0,256,182.780354,0.0,234.0,253.0
-11.0,256,183.729057,0.0,227.0,245.0
-1.0,256,184.669993,0.0,234.0,255.0
-1.0,256,185.617322,0.0,234.0,255.0
-3.0,256,186.55823,0.0,234.0,253.0
-1.0,256,187.498125,0.0,234.0,255.0
-4.0,256,188.954956,0.0,234.0,248.0
-1.0,256,189.899964,0.0,234.0,253.0
-1.0,256,190.843394,0.0,234.0,255.0
-1.0,256,191.792323,0.0,234.0,253.0
1.0,256,192.741964,0.0,234.0,255.0
-1.0,256,193.686634,0.0,234.0,255.0
-1.0,256,194.629695,0.0,234.0,255.0
-1.0,256,195.575807,0.0,234.0,255.0
-1.0,256,197.037257,0.0,234.0,255.0
-1.0,256,197.982694,0.0,234.0,255.0
-6.0,256,198.913671,0.0,234.0,250.0
-1.0,256,199.843096,0.0,234.0,255.0
-3.0,256,200.790576,0.0,234.0,253.0
-9.0,256,201.735067,0.0,229.0,247.0
-5.0,256,202.682722,0.0,233.0,251.0
-1.0,256,203.632442,0.0,234.0,255.0
-1.0,256,205.109607,0.0,234.0,255.0
-1.0,256,206.049951,0.0,234.0,255.0
-1.0,256,207.01083,0.0,234.0,255.0
-5.0,256,208.026503,0.0,233.0,251.0
-1.0,256,208.956022,0.0,234.0,255.0
-5.0,256,209.909179,0.0,233.0,251.0
-1.0,256,210.86872,0.0,234.0,255.0
-3.0,256,211.796623,0.0,234.0,253.0
-5.0,256,213.257905,0.0,233.0,251.0
-1.0,256,214.204973,0.0,234.0,255.0
-1.0,256,215.148897,0.0,234.0,255.0
-5.0,256,216.092008,0.0,233.0,251.0
-1.0,256,217.034675,0.0,234.0,255.0
-1.0,256,217.979009,0.0,234.0,255.0
-1.0,256,218.935146,0.0,234.0,255.0
-3.0,256,219.889378,0.0,234.0,253.0
-2.0,256,221.353976,0.0,234.0,254.0
-7.0,256,222.298811,0.0,231.0,249.0
-1.0,256,223.246789,0.0,234.0,255.0
-11.0,256,224.193078,0.0,227.0,245.0
-5.0,256,225.147828,0.0,233.0,251.0
-9.0,256,226.092666,0.0,229.0,247.0
-13.0,256,227.02862,0.0,225.0,243.0
-1.0,256,227.959357,0.0,234.0,255.0
-11.0,256,229.418364,0.0,227.0,245.0
-3.0,256,230.365319,0.0,234.0,253.0
-3.0,256,231.300831,0.0,233.0,251.0
-3.0,256,232.24172,0.0,234.0,253.0
-1.0,256,233.176741,0.0,234.0,255.0
-1.0,256,234.103851,0.0,234.0,255.0
-3.0,256,235.048096,0.0,234.0,253.0
-3.0,256,235.985463,0.0,234.0,253.0
-1.0,256,237.447468,0.0,234.0,255.0
-3.0,256,238.382218,0.0,233.0,251.0
-3.0,256,239.308586,0.0,234.0,253.0
1.0,256,240.246275,0.0,234.0,253.0
-1.0,256,241.185831,0.0,234.0,255.0
-2.0,256,242.126302,0.0,234.0,254.0
-1.0,256,243.064551,0.0,234.0,255.0
-1.0,256,244.004359,0.0,234.0,255.0
-1.0,256,245.466095,0.0,234.0,255.0
-2.0,256,246.395092,0.0,234.0,254.0
-1.0,256,247.331277,0.0,234.0,255.0
-1.0,256,248.291458,0.0,234.0,253.0
-3.0,256,249.233447,0.0,234.0,253.0
-5.0,256,250.172251,0.0,233.0,251.0
-9.0,256,251.109669,0.0,229.0,247.0
-3.0,256,252.046978,0.0,234.0,253.0
-1.0,256,253.505249,0.0,234.0,255.0
-5.0,256,254.453002,0.0,233.0,251.0
-3.0,256,255.399438,0.0,234.0,253.0
-3.0,256,256.347469,0.0,233.0,251.0
