time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
812,256.0,210944,0.0,-2.91,259,103,0.0,0.14416778171435,-0.0001109569129766,0.2,0.0123201012611389,0.0,0.1184749081730842,-5.273614078760147e-09,0.0002477759999999,1020.0,1,0.0003,5e-05
820,256.0,212992,0.0,-3.05,259,104,0.0,0.3955531036830507,-0.0001100960893381,0.2,0.1681713461875915,0.0,0.1101226285099983,1.076841726899147e-09,0.0002472639999999,1030.0,1,0.0003,5e-05
827,256.0,215040,0.0,-3.05,259,105,0.0,0.163554963748902,-0.0001101491021472,0.2,0.2003370523452758,0.0,0.0849413052201271,2.852175384759903e-09,0.000246752,1040.0,1,0.0003,5e-05
834,256.0,217088,0.0,-2.93,260,106,0.0,0.0631909534626174,-0.0001111757939725,0.2,0.5670292377471924,0.0,0.0016969974385574,-3.5332050174474718e-09,0.0002462399999999,1050.0,1,0.0003,5e-05
841,256.0,219136,0.0,-2.75,260,107,0.0,0.0376147876602772,-0.0001271535575142,0.2,0.3966578245162964,0.0,0.0038464562967419,-1.4938996173441412e-08,0.0002457279999999,1060.0,1,0.0003,5e-05
848,256.0,221184,0.0,-2.73,260,108,0.0,0.1024689136123924,-0.0001107872472857,0.2,0.017423927783966,0.0,0.0679158568382263,-7.520429790019988e-09,0.000245216,1070.0,1,0.0003,5e-05
856,256.0,223232,0.0,-2.94,260,109,0.0,0.1793081207135401,-0.000109903032262,0.2,0.0009752511978149,0.0,0.0472206771373748,-6.01867213845253e-09,0.0002447039999999,1080.0,1,0.0003,5e-05
863,256.0,225280,0.0,-2.85,260,110,0.00016696489,0.3030637090094387,-6.555845384355052e-05,0.2,0.002863585948944,0.000390625,0.2797119319438934,-0.0004594069672748,0.0002441919999999,1090.0,1,0.0003,5e-05
870,256.0,227328,0.0,-3.03,261,111,0.0,0.0747763795137871,-5.398918165155919e-05,0.2,0.7921371459960938,0.0,0.0053364322520792,-1.9936123862862587e-09,0.0002436799999999,1100.0,1,0.0003,5e-05
877,256.0,229376,0.0,-3.03,261,112,0.0,0.228581891907379,-5.3819310051039795e-05,0.2,0.4769564867019653,0.0,0.0984193608164787,-2.450542524456978e-09,0.0002431679999999,1110.0,1,0.0003,5e-05
885,256.0,231424,0.0,-2.89,261,113,0.0,0.2847374372504418,-5.3838224721403095e-05,0.2,0.2315006852149963,0.0,0.1748155355453491,-1.8102582544088362e-09,0.0002426559999999,1120.0,1,0.0003,5e-05
892,256.0,233472,0.0,-2.95,261,114,0.0,0.0628253629198297,-5.387591727412655e-05,0.2,0.5286279916763306,0.0,0.0153666697442531,6.810296326875685e-10,0.0002421439999999,1130.0,1,0.0003,5e-05
899,256.0,235520,0.0,-2.85,261,115,0.0,0.13112332651217,-5.388452168517688e-05,0.2,0.2513461709022522,0.0,0.1005734652280807,3.4924596548080437e-11,0.0002416319999999,1140.0,1,0.0003,5e-05
906,256.0,237568,0.0,-2.71,262,116,0.0,0.0672939654694346,-5.407397125054558e-05,0.2,0.3039953708648681,0.0,0.0397390499711036,-1.9790604710578918e-10,0.0002411199999999,1150.0,1,0.0003,5e-05
913,256.0,239616,0.0,-2.71,262,117,0.0,0.0291562158688975,-5.39335399025731e-05,0.2,0.327710211277008,0.0,0.0093167833983898,-2.712476998567581e-09,0.0002406079999999,1160.0,1,0.0003,5e-05
920,256.0,241664,0.0,-2.77,262,118,0.0,0.0433503743370238,-5.41391198112251e-05,0.2,0.2503575682640075,0.0,0.0292996428906917,1.3038516044616696e-09,0.0002400959999999,1170.0,1,0.0003,5e-05
928,256.0,243712,0.0,-2.75,262,119,0.0,0.1348178138083312,-5.407836788435816e-05,0.2,0.0968483686447143,0.0,0.186016634106636,2.171145752072334e-09,0.0002395839999999,1180.0,1,0.0003,5e-05
935,256.0,245760,0.0,-2.79,262,120,0.0,0.0369258195922157,-5.4163747790880734e-05,0.2,0.0756648778915405,0.0,0.008875967003405,-8.294591680169106e-09,0.0002390719999999,1190.0,1,0.0003,5e-05
942,256.0,247808,0.0,-2.72,262,121,0.0,0.0226336513483147,-5.451053011711338e-05,0.2,0.4833468198776245,0.0,0.0316862948238849,-8.149072527885435e-11,0.0002385599999999,1200.0,1,0.0003,5e-05
949,256.0,249856,0.0,-2.64,263,122,0.0,0.0664395492647599,-5.467737710205256e-05,0.2,0.0591402649879455,0.0,0.0091555202379822,4.854518920183182e-09,0.0002380479999999,1210.0,1,0.0003,5e-05
956,256.0,251904,0.0,-2.5,263,123,0.0,0.1628316521178931,-5.44373524007824e-05,0.2,0.0899962186813354,0.0,0.0702326893806457,-8.149072527885436e-10,0.0002375359999999,1220.0,1,0.0003,5e-05
964,256.0,253952,0.0,-2.36,263,124,0.0,0.0039818498646127,-5.499025473909569e-05,0.2,0.6921563148498535,0.0,6.615106394747272e-05,6.309710443019867e-09,0.0002370239999999,1230.0,1,0.0003,5e-05
971,256.0,256000,0.0,-2.46,263,125,0.0,0.0588347995570075,-5.4952880827841e-05,0.2,0.108341097831726,0.0,0.0268470887094736,1.938315108418464e-09,0.0002365119999999,1240.0,1,0.0003,5e-05
