time/total_timesteps,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/loss,phase
335872,-8.142895476339617e-05,0.1299565616347536,-1.4202669262886047e-09,1630.0,0.1322586089372635,1
337920,-8.160310117091285e-05,0.003733901257874,1.4115357771515844e-09,1640.0,0.0024688078556209,1
339968,-8.431208316324046e-05,0.0834098195238766,-1.5599653124809265e-08,1650.0,0.0780986100435257,1
342016,-8.187513503798982e-05,0.0964785193180432,-8.154893293976783e-09,1660.0,0.0045359670184552,1
344064,-8.31637260489515e-05,0.0023001780786216,3.5506673157215116e-10,1670.0,0.0020185790490359,1
346112,-8.452957408735528e-05,0.4812903061607357,-6.170012056827544e-10,1680.0,0.0069822445511817,1
348160,-8.46161880872387e-05,0.4751547780848341,-2.054730430245399e-09,1690.0,0.2502680718898773,1
350208,-8.52502596899285e-05,0.0101289849597378,9.138602763414384e-10,1700.0,0.0021953200921416,1
352256,-8.84858901372354e-05,0.2617812525597401,4.2817555367946626e-08,1710.0,0.0975623354315757,1
354304,-8.710237625564332e-05,0.243579668305756,-4.528556019067764e-09,1720.0,0.3206479549407959,1
356352,-9.039906835823784e-05,0.002395920689014,-6.655463948845865e-08,1730.0,0.000959831115324,1
358400,-9.104235277845872e-05,0.0229878549842396,-1.00000761449337e-08,1740.0,0.0010529229184612,1
360448,-9.328339392595808e-05,0.1714617850797367,2.62516550719738e-09,1750.0,0.0210322961211204,1
362496,-9.315468405475258e-05,1.001517686614534,2.793967723846435e-10,1760.0,0.0090946452692151,1
364544,-9.91452959169692e-05,0.1285265426966361,6.8801455199718485e-09,1770.0,0.063719093799591,1
366592,-9.738570151966995e-05,0.2133406435546931,1.1292286217212674e-09,1780.0,0.0009741253452375,1
368640,-9.743364780661068e-05,0.3136403810276533,-3.44705767929554e-08,1790.0,0.0013697404647246,1
370688,-9.524945153316366e-05,0.0031424823328961,3.422610461711883e-09,1800.0,0.0001714501995593,1
372736,-9.957059564840164e-05,0.0011883468548148,4.9365917220711716e-08,1810.0,0.0001592557237017,1
374784,-0.000100714144537,0.0316810572021495,-5.8312434703111646e-08,1820.0,0.0010814177803695,1
376832,-0.0001072486056727,0.0339430096411888,-3.4680124372243885e-08,1830.0,0.0005022427649237,1
378880,-0.0001076262514288,0.124815246230537,-1.3780663721263409e-08,1840.0,0.1043765768408775,1
380928,-0.0001071498235432,0.0552490959465103,-8.236384019255638e-09,1850.0,0.0030109051149338,1
382976,-0.0001130721013396,0.0835181914422719,-8.265487849712372e-09,1860.0,0.0308638699352741,1
385024,-0.0001212129267514,0.0057303847248476,-4.51691448688507e-09,1870.0,1.6828109437483363e-05,1
387072,-0.0001202688437842,0.0246175458947618,1.2357486411929133e-08,1880.0,0.0007087656413204,1
389120,-0.0001237507523001,0.0038144746580655,-4.7939829528331765e-08,1890.0,0.0025749146007001,1
391168,-0.0001304188202993,0.0058598401268682,6.064074113965034e-08,1900.0,0.0009076461428776,1
393216,-0.0001372082875604,0.0020712420866402,-2.3504253476858143e-08,1910.0,0.0004832275444641,1
395264,-0.00014624141495,0.7827897750554257,-2.3277243599295615e-08,1920.0,0.1092728823423385,1
397312,-0.0001488033869463,0.0611147248066117,-1.8980354070663453e-07,1930.0,0.0007442347705364,1
399360,-0.0001707361159787,0.0519166966909324,-1.4522811397910118e-08,1940.0,0.0039366693235933,1
401408,-0.000175830973967,0.1585708184076793,-3.0081719160079953e-08,1950.0,0.1248241141438484,1
403456,-0.0001834550630519,0.104563859085465,-8.615897968411447e-08,1960.0,0.0103538846597075,1
405504,-0.0001887621732748,0.7731905297783669,-1.1047814041376116e-08,1970.0,0.3047541975975036,1
407552,-0.0002103682219967,0.5859277192270383,-1.158914528787136e-08,1980.0,0.005872487090528,1
409600,-0.0002104546094415,0.0083648755027752,-1.1381343938410283e-07,1990.0,0.0045892396010458,1
411648,-0.0002467467465976,0.001940582698171,-2.785091055557132e-07,2000.0,0.0017877308418974,1
413696,-0.0002841628524038,0.2569064977113157,-3.972614649683237e-07,2010.0,0.0005854709888808,1
415744,-0.0003514917592838,0.4407252691686153,-4.9441587179899214e-08,2020.0,0.5724436640739441,1
417792,-0.0002222716082542,0.1584261130250524,-0.0005235671822447,2030.0,0.1064863726496696,1
419840,-0.0002046831281404,0.0013198748369177,-1.5792902559041979e-07,2040.0,0.0007565629784949,1
421888,-0.0002008073368415,0.5446286240185145,-4.575122147798538e-09,2050.0,0.6388531923294067,1
423936,-0.0002157658715077,0.0909587149006256,-8.008792065083981e-08,2060.0,0.0007514171302318,1
425984,-0.0002345968667214,0.0638875253607693,-8.123461157083512e-08,2070.0,0.004498844500631,1
428032,-0.0002370080981563,0.0866886365314712,-8.62870365381241e-08,2080.0,0.0007434185245074,1
430080,-0.0002508556317479,0.0367409883961045,-5.263078492134809e-07,2090.0,0.0001876497117336,1
432128,-0.0002413903315755,0.0534671290170081,7.217749953269958e-09,2100.0,0.0002453809720464,1
434176,-0.0002376829790591,0.0344044725236017,-3.42843122780323e-08,2110.0,0.0040206140838563,1
436224,-0.0002705036327824,0.1781802648765733,-6.607151590287686e-08,2120.0,0.0601581968367099,1
438272,-0.000291667665806,0.1925724876346066,-1.7542915884405377e-07,2130.0,0.1685152947902679,1
440320,-0.0003264451126597,0.1197407107523758,-9.441282600164413e-09,2140.0,0.0044618132524192,1
442368,-0.0003130109969788,0.0132528485300099,-3.2002571970224384e-08,2150.0,0.0004003517969977,1
444416,-0.0003526422442519,0.0123027121229824,-6.183981895446778e-08,2160.0,0.007697251625359,1
446464,-0.0003797931505687,0.1488555725023616,-1.0046642273664474e-07,2170.0,0.0051903380081057,1
448512,-0.0003687533822812,0.4917676348355598,-1.3890676200389865e-07,2180.0,0.0074981553480029,1
450560,-0.0004252052829542,0.007052552283767,-3.97552503272891e-07,2190.0,0.0014437300851568,1
452608,-0.0004889366944553,0.0139756055628822,-3.675406333059073e-07,2200.0,0.006476589012891,1
454656,-0.0005536200449569,0.233673633604485,-9.778072126209735e-07,2210.0,0.0017450472805649,1
456704,-0.0006869396274851,0.1954725571369636,-2.229004167020321e-07,2220.0,0.0072266547940671,1
458752,-0.0007682519615627,1.1665679532117792,-5.550682544708253e-08,2230.0,0.0126697486266493,1
460800,-0.0004686847791163,0.0365074156754417,-0.0006884143687784,2240.0,0.0020335190929472,1
462848,-0.000398977603254,0.5180025418812875,-6.488990038633346e-08,2250.0,0.7730175852775574,1
464896,-0.0004249039506248,0.0059464116646267,-4.572648322209716e-07,2260.0,0.0030110992956906,1
466944,-0.0004320663756516,0.4519055949494941,-2.9872171580791476e-08,2270.0,0.2347471117973327,1
468992,-0.0004328379010985,0.2544693601434119,-4.1699968278408056e-08,2280.0,0.1401124894618988,1
471040,-0.0004703488044469,0.0018448633326443,-2.2205349523574113e-07,2290.0,0.0034085747320204,1
473088,-0.000550243055477,0.0820674041882739,7.124617695808411e-09,2300.0,0.1151502877473831,1
475136,-0.000571625901648,0.0350634593640279,-1.258740667253733e-07,2310.0,0.0011349667329341,1
477184,-0.000620328135119,0.2328455901981215,-1.620035618543625e-07,2320.0,0.1109503284096717,1
479232,-0.000711088238313,0.1922240862069884,-4.7138892114162443e-07,2330.0,0.0013077955227345,1
481280,-0.000788833793922,0.0647586873288673,-4.656147211790085e-07,2340.0,0.0003816674579866,1
483328,-0.0009317102907516,0.1714676700496056,-8.650240488350391e-07,2350.0,0.1150459572672844,1
485376,-0.0012433791052899,0.0750385844432457,-2.238014712929726e-06,2360.0,0.0003367693279869,1
487424,-0.0008600467313954,0.4711955908685922,-0.0007138801622204,2370.0,0.1300840526819229,1
489472,-0.0007144584866182,0.0127823209151756,-1.846812665462494e-07,2380.0,0.0001525070401839,1
491520,-0.0007090583596436,0.2945261494765873,-1.2281816452741625e-08,2390.0,0.0060021956451237,1
493568,-0.000720521628682,0.0022577966086828,-1.6716658137738705e-07,2400.0,0.0004044550296384,1
495616,-0.0007686512777581,0.0345270025584113,-3.754452336579562e-07,2410.0,9.220658103004098e-05,1
497664,-0.0007477105602447,0.3048710214090533,-3.483728505671024e-08,2420.0,0.0081612151116132,1
499712,-0.000750580933527,0.0028180974084534,-6.717571523040533e-07,2430.0,0.0003138521569781,1
501760,-0.00083236738501,0.0523797002658398,-1.1391239240765573e-08,2440.0,0.0011867970461025,1
503808,-0.0008142945640429,0.0729190542842843,-9.018811397254468e-07,2450.0,0.0007798044243827,1
505856,-0.0007693347914027,0.1130189856994547,-3.5992125049233434e-07,2460.0,0.096028983592987,1
507904,-0.0008890584940672,0.1210002681189507,-6.166519597172739e-08,2470.0,0.0026026621926575,1
509952,-0.0008560526919609,0.0546095332836557,-1.9317958503961567e-07,2480.0,0.0052379057742655,1
512000,-0.0008498153358232,0.0603065158247773,-1.858145697042346e-06,2490.0,0.0002812308375723,1
514048,-0.0008836061206238,0.0232504058839367,-6.696267519146204e-07,2500.0,0.0001219733894686,1
516096,-0.0006781521777156,0.0363208852984826,-0.000692932907259,2510.0,0.001945297117345,1
518144,-0.0006809560203691,0.0053342955612606,-2.726679667830467e-07,2520.0,0.006821165792644,1
520192,-0.0004288664076739,0.0035725216024729,-0.0007831115828594,2530.0,-0.0039866780862212,1
522240,-0.0002828287777447,0.1363976800566888,-0.00025934256264,2540.0,0.0059130918234586,1
524288,-0.0002252635180411,0.06941198008426,-1.4674151316285133e-08,2550.0,0.2568549811840057,1
526336,-0.000221439627785,0.0907777632688521,-2.94647179543972e-08,2560.0,0.119126982986927,1
528384,-0.0002207258745329,0.3509538992104353,-9.301584213972092e-09,2570.0,0.2042421847581863,1
530432,-0.0002220335412857,0.0274707787677471,4.211324267089366e-09,2580.0,0.0003677102504298,1
532480,-0.0002258256146888,0.0713424072744601,-6.984919309616089e-11,2590.0,0.0044827149249613,1
534528,-0.0002240147423435,0.1295003818289842,-2.6077032089233393e-09,2600.0,0.1349642872810363,1
536576,-0.0002235580930573,0.3008029424832784,-2.665910869836807e-09,2610.0,0.002140331082046,1
538624,-0.0002261118541355,0.0978332243626937,-6.787013262510299e-09,2620.0,0.1768677234649658,1
540672,-0.0002220793350716,0.0855653224842171,2.5902409106492992e-09,2630.0,0.0005079122493043,1
542720,-0.0002249908073281,0.001767999294384,-2.4447217583656307e-10,2640.0,0.0001318684226134,1
544768,-0.0002220648535512,0.0307163077692166,2.485467121005058e-09,2650.0,0.0023290342651307,1
546816,-0.0002333908340006,0.0874619144160533,-2.2747553884983063e-08,2660.0,0.1043668389320373,1
548864,-0.0002304522533449,0.0016001974160872,8.614733815193177e-10,2670.0,1.038721984514268e-05,1
550912,-0.0002313085680725,0.1062085279740131,8.472416084259748e-08,2680.0,0.121095098555088,1
552960,-0.0002357512465096,0.0005662449243232,-1.2922100722789762e-09,2690.0,0.0005716004525311,1
555008,-0.0002288669495101,0.1670145104108087,1.2281816452741624e-09,2700.0,0.0035897963680326,1
557056,-0.0002371240154388,0.0306248753351837,-2.7753412723541264e-08,2710.0,0.0003497500438243,1
559104,-0.0002382493601544,0.2241334678772545,9.4645656645298e-09,2720.0,0.4178490340709686,1
561152,-0.0002280600458107,0.0579222943459171,-3.125169314444065e-08,2730.0,0.0065282913856208,1
563200,-0.0002295828688147,0.1002643605930643,-3.3702235668897632e-09,2740.0,0.0004588261654134,1
565248,-0.0002399254623014,0.2892123819590779,-1.525040715932846e-09,2750.0,0.1202133297920227,1
567296,-0.0002414799326288,0.3012993072348763,-4.167668521404266e-09,2760.0,0.2822538018226623,1
569344,-0.0002370834319663,0.8452890264336019,-6.170012056827544e-10,2770.0,0.5057748556137085,1
571392,-0.0002309832168975,0.0348808309758169,-1.0333606041967869e-07,2780.0,0.0006474609253928,1
573440,-0.0002390970821579,0.385326185109443,2.3050233721733094e-09,2790.0,0.0014186474727466,1
575488,-0.000184325122791,0.0995043530296243,-0.000116396008525,2800.0,0.0962333157658577,1
577536,-0.0001641142955122,0.1301349287183257,1.327134668827057e-09,2810.0,0.0952676758170127,1
579584,-0.0001700686767435,0.0391811991639087,3.425520844757557e-09,2820.0,8.71775955602061e-06,1
581632,-0.0001714202817311,0.1569050719739607,-8.090864866971971e-09,2830.0,0.0012631696881726,1
583680,-0.0001686207240709,0.0318551569395367,-1.2776581570506095e-09,2840.0,0.0014235887210816,1
585728,-0.0001709097808998,0.0542440397184691,-2.2101448848843577e-08,2850.0,0.0898065939545631,1
587776,-0.0001783901439921,0.0524028278553032,-3.1833769753575324e-08,2860.0,0.0880283489823341,1
589824,-0.0001723542587569,0.0364099280952359,3.137392923235893e-09,2870.0,0.0008832386229187,1
591872,-0.0001755379036694,0.401783923766925,-6.0070306062698374e-09,2880.0,0.2176051437854766,1
593920,-0.0001740924251862,0.010050630429032,-4.1618477553129204e-09,2890.0,0.0011903509730473,1
595968,-0.0001765560762578,0.0615641813645197,-1.3876706361770632e-08,2900.0,0.0028455092106014,1
598016,-0.0001727409769955,0.0819214320952596,-3.830064088106155e-09,2910.0,0.0078456522896885,1
600064,-0.0001727743903757,0.1486130902922013,-1.5221303328871724e-09,2920.0,0.1048221662640571,1
602112,-0.0001747256887028,0.1415088094181555,8.381903171539306e-10,2930.0,0.0946612805128097,1
604160,-0.000179252806447,0.2088583160821144,1.0477378964424134e-10,2940.0,0.056309524923563,1
606208,-0.000178234345185,0.2222915274003753,-2.5611370801925656e-10,2950.0,0.0765544325113296,1
608256,-0.0001725719886962,0.1706905242121138,-2.258457243442535e-09,2960.0,0.1024828478693962,1
610304,-0.000177303268174,0.2610173784778453,-6.752088665962219e-09,2970.0,0.3393705487251282,1
612352,-0.0001767557450875,0.0989203815439395,5.034962669014931e-09,2980.0,0.1024062559008598,1
614400,-0.0001859493237134,0.1876324571385339,-1.959269866347313e-08,2990.0,0.1086373627185821,1
616448,-0.0001824549053708,0.0032276875464958,2.083834260702133e-09,3000.0,0.0017328454414382,1
618496,-0.0001836801104218,1.0039282093814108,5.238689482212067e-10,3010.0,0.1822122782468795,1
620544,-0.0001866579781562,0.1761613274255069,3.1298259273171434e-08,3020.0,0.0124945975840091,1
622592,-0.0001855039414294,0.3914039157680236,-1.3038516044616696e-09,3030.0,0.9425777196884156,1
624640,-0.0001878994868093,0.0477160937258304,-5.122274160385131e-10,3040.0,0.0591734386980533,1
626688,-0.0001785191438102,0.0378975771192926,-3.4633558243513103e-09,3050.0,0.0012712466996163,1
628736,-0.0001843091229602,0.0027977223988273,8.824281394481659e-09,3060.0,0.0003894131223205,1
630784,-0.0001876108914075,0.1545058486750349,1.123407855629921e-09,3070.0,0.1389646977186203,1
632832,-0.0001953227618287,0.2434724734746851,-6.195041351020336e-08,3080.0,0.0630391612648963,1
634880,-0.0001908444013679,0.0352911281963315,-1.364387571811676e-08,3090.0,0.0007848883396945,1
636928,-0.0002008978757658,0.2618866796758084,1.2619420886039736e-08,3100.0,0.0010503083467483,1
