time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,phase
372736,0.0027015081141144,-1.8277205526828763e-09,0.2159981039760168,-7.687731203986914e-05,1810.0,1
374784,0.0023211210500448,1.0276562534272671e-08,0.2799624377053987,-8.201937107514823e-05,1820.0,1
376832,0.1104579493403434,-3.118184395134449e-08,0.2509728767017805,-8.854431443978683e-05,1830.0,1
378880,0.0004975185729563,-6.362097337841987e-09,0.0291505409049023,-7.544104028056609e-05,1840.0,1
380928,0.0006784592405892,8.125789463520051e-09,0.0352649253887648,-8.831421127979411e-05,1850.0,1
382976,0.0018980377353727,-1.9208528101444244e-08,0.1837609242276812,-9.464484865020494e-05,1860.0,1
385024,0.049448188394308,-2.9173679649829864e-08,0.1517355750067509,-9.369733506900956e-05,1870.0,1
387072,0.1169281601905822,-3.7590507417917256e-08,0.134028297248733,-0.000107581336033,1880.0,1
389120,0.0012890701182186,-1.290289219468832e-07,0.0588870441252765,-0.0001077338567483,1890.0,1
391168,0.0006352471536956,-1.6478588804602624e-08,0.1160205801334086,-0.0001192193861243,1900.0,1
393216,0.0002964165469165,-1.0941876098513604e-07,0.0687147179169187,-0.0001326080548096,1910.0,1
395264,0.0001170702380477,-1.853681169450283e-07,0.0301708027260701,-0.0001439743620721,1920.0,1
397312,0.1240778341889381,1.4546094462275504e-08,0.5247752833703998,-0.0001364833451589,1930.0,1
399360,0.1059939190745353,-7.409835234284402e-08,0.0995802169571106,-0.0001355012704152,1940.0,1
401408,0.0001407839590683,-1.9076396711170674e-07,0.0316607360033231,-0.0001687342954028,1950.0,1
403456,0.0005456527578644,-1.567008439451456e-07,0.1241518232611269,-0.0001994723554162,1960.0,1
405504,0.0013473117724061,-2.436747308820486e-07,0.0321330264929201,-0.0002136906437954,1970.0,1
407552,0.0016920954221859,-4.3357722461223603e-07,0.0313721056346821,-0.0003049443246709,1980.0,1
409600,0.0013803100446239,-2.9990915209054945e-07,0.0859779465245083,-0.0003974313382059,1990.0,1
411648,0.0116331214085221,-6.366928573697805e-07,0.0493369714438813,-0.0005236558794422,2000.0,1
413696,0.0061290981248021,-7.093185558915139e-08,0.0972046319948276,-0.0008290120516903,2010.0,1
415744,0.0019816383719444,4.051253199577331e-09,0.5593386320804712,-0.0014319663270725,2020.0,1
417792,0.1239580810070037,-0.0002748010447248,0.2099246263693203,-0.0046557900030165,2030.0,1
419840,-0.0450379513204097,-0.011175496171927,0.0298330954620723,-0.1827382154529914,2040.0,1
421888,3.588176965713501,-0.0052299206377938,10.5792027592659,-0.3661579214036464,2050.0,1
423936,3.9104368686676025,-0.006588049873244,11.1960717856884,-0.4325862567871809,2060.0,1
425984,4.35815954208374,-0.007358772936277,8.733629602193833,-0.2533389443531632,2070.0,1
428032,3.177988290786743,-0.0056834221584722,8.030780443549157,-0.1779792604967952,2080.0,1
430080,2.6676175594329834,-0.0066940842894837,5.183896481990814,-0.1332875424064696,2090.0,1
432128,2.8006975650787354,-0.006737671920564,5.38330000936985,-0.0840360040776431,2100.0,1
434176,0.4095926880836487,-0.0014109148614807,1.065949297696352,-0.0531078820582479,2110.0,1
436224,0.3931104838848114,-0.0040770336345303,0.7598362069576978,-0.0704474195372313,2120.0,1
438272,0.3295367360115051,-0.0024120682908687,0.9180912882089616,-0.06602089619264,2130.0,1
440320,0.2764088213443756,-0.0039063419273588,0.8806738201528788,-0.0463508110726252,2140.0,1
442368,0.2547164559364319,-0.0010748077183961,0.9017049930989742,-0.0235785963479429,2150.0,1
444416,0.0193474479019641,-0.0008122718136291,0.1818310200702399,-0.0103450154187157,2160.0,1
446464,0.1051681563258171,-0.0006569942401256,0.3335645139217377,-0.0075847013737075,2170.0,1
448512,0.5545704960823059,-0.0010502427117899,0.7106843803543598,-0.0134309158660471,2180.0,1
450560,0.0074656270444393,-0.0004941298859193,0.1463933185325004,-0.0046011712402105,2190.0,1
452608,0.186435729265213,-0.0006539220863487,0.2385938110761344,-0.0043874617374967,2200.0,1
454656,0.0039192731492221,-0.0005726759787648,0.0334198309981729,-0.0038892010605195,2210.0,1
456704,0.0047412454150617,-0.000661337247584,0.0217355934146326,-0.0027879164757905,2220.0,1
458752,0.0018705372931435,-4.397996235638857e-07,0.1673262114432873,-0.0025463864702032,2230.0,1
460800,0.4322893023490906,-0.0001942748087458,0.3563051732257009,-0.0022520157363032,2240.0,1
462848,0.5585466623306274,2.0419247448444367e-08,0.5716019445448183,-0.0019170033774571,2250.0,1
464896,0.0017888906877487,-1.2817326933145526e-07,0.0059161447090446,-0.0020058968133525,2260.0,1
466944,0.0019461825722828,-1.4688121154904366e-07,0.1125278870618785,-0.002167692274088,2270.0,1
468992,0.0004758246359415,-3.992288839071989e-07,0.0038036136545997,-0.0022235122567508,2280.0,1
471040,0.0099152857437729,-0.0005936340312473,0.0864833882194943,-0.0016936193671426,2290.0,1
473088,0.0027981617022305,-0.0007316547678783,0.0587806187730166,-0.0013961618242319,2300.0,1
475136,0.0003309893654659,-1.8525170162320136e-07,0.0831521725653146,-0.0013277178819407,2310.0,1
477184,0.1190955936908721,-2.0285369828343394e-07,0.0567540379714046,-0.0013111483422107,2320.0,1
479232,1.0591930150985718,2.9685907065868374e-09,2.3570057348464615,-0.0013267384623759,2330.0,1
481280,0.5812872648239136,-0.0001843166071921,0.5521757532325864,-0.0009927052269631,2340.0,1
483328,0.119202934205532,-6.336485967040061e-08,0.0316540485611767,-0.0008348979332367,2350.0,1
485376,0.0069219269789755,-3.6618439480662354e-08,0.0079407922397876,-0.000831640468823,2360.0,1
487424,0.1056703478097915,-2.444721758365631e-09,0.1939639362066373,-0.0008876683219568,2370.0,1
489472,0.096049353480339,-0.0002451853477396,0.1573069528618361,-0.0008232763218984,2380.0,1
491520,0.5908474326133728,-9.604264050722122e-09,0.8052419624378672,-0.0007611207067384,2390.0,1
