rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,phase,phase_learning_rate_start,phase_learning_rate_end
-1.332,254,651264,2560,256.0,0.0,318,0.6732785701751709,0.2,0.0001376959999999,-0.0002095589092277,0.3359852867841255,0.0,0.0,-5.046604201197624e-09,3170.0,0.0977817252278328,1,0.0003,5e-05
-1.3540000000000003,254,653312,2567,256.0,0.0,319,0.0436978936195373,0.2,0.000137184,-0.0002169889374272,0.0079807717821836,0.0,0.0,6.28642737865448e-10,3180.0,6.115830910857767e-05,1,0.0003,5e-05
-1.338,254,655360,2575,256.0,0.0,320,0.5420496463775635,0.2,0.0001366719999999,-0.0001394554219587,0.4253322967328131,0.000341796875,0.000114087015,-0.0008246262848842,3190.0,0.1522885859012603,1,0.0003,5e-05
-1.2500000000000002,254,657408,2582,256.0,0.0,321,0.6139110922813416,0.2,0.0001361599999999,-0.0001177882460979,0.0778227365884959,0.0,0.0,-1.8364517018198967e-08,3200.0,0.0002962438156828,1,0.0003,5e-05
-1.006,254,659456,2589,256.0,0.0,322,0.9184418320655824,0.2,0.0001356479999999,-0.0001145759806604,0.0125130916530906,0.0,0.0,-2.6798807084560393e-08,3210.0,0.0091834980994462,1,0.0003,5e-05
-1.0040000000000002,254,661504,2596,256.0,0.0,323,-1.5433387756347656,0.2,0.0001351359999999,-0.0001213389400618,0.0037889228772655,0.0,0.0,-1.766020432114601e-08,3220.0,1.1521089618327096e-05,1,0.0003,5e-05
-0.924,254,663552,2603,256.0,0.0,324,0.7832968235015869,0.2,0.000134624,-0.0001187432624647,0.1110322545937378,0.0,0.0,-3.608874976634979e-10,3230.0,0.2051632553339004,1,0.0003,5e-05
-1.0040000000000004,254,665600,2611,256.0,0.0,325,0.8853099346160889,0.2,0.0001341119999999,-0.000116323306247,0.0249019643524661,0.0,0.0,-2.9581133276224136e-08,3240.0,0.0858568176627159,1,0.0003,5e-05
-0.916,255,667648,2618,256.0,0.0,326,0.2056588530540466,0.2,0.0001336,-0.0001206306279527,0.072244227027204,0.0,0.0,9.60426405072212e-10,3250.0,0.0614204667508602,1,0.0003,5e-05
-0.7840000000000003,255,669696,2625,256.0,0.0,327,0.8266416192054749,0.2,0.0001330879999999,-0.0001161661364676,0.02127380123693,0.0,0.0,-2.2305175662040713e-08,3260.0,9.84557846095413e-05,1,0.0003,5e-05
