time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,phase
206848,0.0180556867140694,1000.0,1.5890691429376603e-09,0.0093406941741704,-0.0002106621621351,1
208896,0.0734358107380103,1010.0,9.022187441587447e-10,0.0251634530723094,-0.0002110867946612,1
210944,0.0084898610592063,1020.0,-2.5582266971468927e-09,0.0124724032357335,-0.0002116126581313,1
212992,0.0563647816787124,1030.0,-3.667082637548446e-10,0.0136626278981566,-0.0002124561051459,1
215040,0.0334517498868081,1040.0,-1.1816155165433882e-09,0.0299291778355836,-0.0002130705302988,1
217088,0.0129692324095231,1050.0,7.601920515298843e-09,0.0052273403853178,-0.0002139717169484,1
219136,0.074715161199856,1060.0,2.0954757928848267e-10,0.0457076355814933,-0.0002142059242032,1
221184,0.0378015429800143,1070.0,-9.69157554209232e-10,0.0414127968251705,-0.0002154552483261,1
223232,0.0257487065638997,1080.0,2.2730091586709026e-08,0.0078999632969498,-0.0002164466886824,1
225280,0.0175790920569852,1090.0,5.500623956322671e-10,0.0035881849471479,-0.0002170227448004,1
227328,0.1218553501064889,1100.0,1.629814505577087e-10,0.0935926139354705,-0.0002177941099944,1
229376,0.0126585153841006,1110.0,3.1432136893272404e-09,0.0064388117752969,-0.0002240152170998,1
231424,0.049019289566786,1120.0,-5.529727786779404e-10,0.0062897531315684,-0.0002193865750086,1
233472,0.0595521982148056,1130.0,-0.0011187829892151,0.0259932745248079,-0.0001289274107875,1
235520,0.052990733666229,1140.0,-1.5133991837501526e-10,0.0085484329611063,-0.0001183809546091,1
237568,0.0528441117785405,1150.0,1.4726538211107252e-09,0.0371051505208015,-0.0001184795529297,1
239616,0.0858906523077166,1160.0,1.5716068446636202e-09,0.1000497415661811,-0.0001185865281513,1
241664,0.133131999510806,1170.0,-1.4441320672631265e-08,0.0714760273694992,-0.0001327467980445,1
243712,0.1630465521418955,1180.0,-9.313225746154786e-11,0.0643470808863639,-0.0001249244771315,1
245760,0.0238957727291563,1190.0,1.5366822481155395e-09,0.0018004672601819,-0.0001187609269436,1
247808,0.1885112848132848,1200.0,2.2118911147117614e-10,0.2685101330280304,-0.0001230258958457,1
249856,0.0218274925762671,1210.0,4.3830368667840964e-09,0.0064833774231374,-0.0001200882938064,1
251904,0.0113188572802755,1220.0,-2.2194581106305123e-08,0.0044948272407054,-0.0001315159230216,1
253952,0.1635056159109808,1230.0,-8.149072527885435e-11,0.0977417528629303,-0.0001210064069709,1
256000,0.1269374625800992,1240.0,-5.180481821298598e-10,0.0106806065887212,-0.0001195588610244,1
258048,0.0459255352907348,1250.0,-7.101334631443022e-10,0.0160452146083116,-0.000125921684048,1
260096,0.0244426465244032,1260.0,-6.938353180885315e-09,0.0029138100799173,-0.0001198470457893,1
262144,0.0219148027317714,1270.0,4.720641300082206e-09,0.0108639700338244,-0.0001199715183247,1
264192,0.0268026222198386,1280.0,-3.815512172877788e-09,0.0167641639709472,-0.0001202201545311,1
266240,0.0302178823956637,1290.0,-1.746229827404022e-09,0.0243857111781835,-0.0001203990439535,1
268288,0.0307856682236888,1300.0,4.062894731760025e-09,0.0312146563082933,-0.0001254879694897,1
270336,0.0854017332589137,1310.0,-1.280568540096283e-09,0.0539020895957946,-0.0001293519990213,1
272384,0.0290799459588015,1320.0,-4.295725375413894e-09,0.0168790370225906,-0.0001210066458043,1
274432,0.018981492723833,1330.0,-1.0244548320770262e-09,0.0004528278077486,-0.0001212969814332,1
276480,0.0806938241119496,1340.0,2.8230715543031685e-10,0.0644853413105011,-0.0001216320099956,1
278528,0.0669972776440772,1350.0,2.1944288164377214e-09,0.0292817186564207,-0.0001217939685375,1
280576,0.0228852435189764,1360.0,1.0535586625337602e-09,0.0032423820812255,-0.0001222074301949,1
282624,0.0303470206868951,1370.0,-4.307366907596588e-09,0.0016614106716588,-0.0001229126852194,1
284672,0.0400225019169738,1380.0,-3.5506673157215116e-10,0.0109595237299799,-0.0001230342422786,1
286720,0.0290282057445438,1390.0,3.8999132812023164e-10,0.0128153255209326,-0.0001233608496477,1
288768,0.0538437582097685,1400.0,-5.355104804039e-10,0.0579393021762371,-0.0001277457517062,1
290816,0.0125688559492118,1410.0,-1.7869751900434492e-09,0.0013103816891089,-0.0001262711086383,1
292864,0.0631494735338492,1420.0,1.0069925338029862e-09,0.0694038122892379,-0.0001250629120477,1
294912,0.0173732374532846,1430.0,1.2179953046143055e-09,0.0049351002089679,-0.0001254479833733,1
296960,0.0214259102067444,1440.0,-2.019805833697319e-09,0.0038471508305519,-0.000125931718685,1
299008,0.0158965962822549,1450.0,-1.4435499906539915e-09,0.0237480197101831,-0.0001265542832697,1
301056,0.0247332703638676,1460.0,-2.2247550077736377e-07,0.0170372631400823,-0.0001555348106194,1
303104,0.044975006225286,1470.0,-6.582122296094894e-08,0.0312401577830314,-0.0001670026627834,1
305152,0.0179637042951071,1480.0,3.1696981750428674e-08,0.0024296683259308,-0.0001291261602091,1
307200,0.0696618150337599,1490.0,-1.5628756955266e-09,0.0322979539632797,-0.0001467163854613,1
309248,0.0156185335959889,1500.0,-7.275957614183425e-10,0.0102627873420715,-0.0001303478278714,1
311296,0.0062323746769834,1510.0,6.688060238957405e-09,0.0018100007437169,-0.0001311609339609,1
313344,0.0414299316318647,1520.0,3.7252902984619143e-10,0.0294055752456188,-0.0001323458776823,1
315392,0.2304358570836484,1530.0,-5.646143108606337e-10,0.1503660976886749,-0.000139664089329,1
317440,0.1162038353970274,1540.0,-1.3700628187507393e-08,0.0911000967025756,-0.0001928545905684,1
319488,0.0949731882399646,1550.0,1.8015271052718158e-09,0.0018459080019965,-0.0001336328974502,1
321536,0.0509590289584593,1560.0,1.5686964616179464e-09,0.0439264364540576,-0.0001341253493592,1
323584,0.029302126663606,1570.0,1.6589183360338212e-10,0.0020672644022852,-0.0001342818364719,1
325632,0.0143209896399639,1580.0,-4.371395334601402e-09,0.0064190248958766,-0.0001347509451079,1
327680,0.0287453447326697,1590.0,5.710171535611152e-09,0.0411216095089912,-0.0001364461430057,1
329728,0.0122684229103469,1600.0,-1.6124977264553307e-08,0.000951743859332,-0.0001397703135808,1
331776,0.0223787249480665,1610.0,3.3702235668897632e-09,0.0002139159041689,-0.0001389664423186,1
333824,0.1036891397787258,1620.0,2.4971086531877513e-09,0.0916089341044426,-0.0001399129041601,1
335872,0.1286145542282611,1630.0,-5.023321136832237e-09,0.0821805819869041,-0.0001847972900577,1
337920,0.0444071540609002,1640.0,2.9103830456733704e-11,0.0092841451987624,-0.0001418389863829,1
339968,0.0311725473002297,1650.0,-7.959897629916667e-10,0.0096753034740686,-0.0001432659442798,1
342016,0.0346188612733385,1660.0,1.1641532182693482e-11,0.022366028279066,-0.0001452316888389,1
344064,0.0613627961225574,1670.0,2.6775524020195005e-10,0.0058665564283728,-0.0001438341460016,1
346112,0.0320554525300394,1680.0,-2.099841367453337e-09,0.0028262000996619,-0.0001450744008252,1
348160,0.028228926443262,1690.0,-1.746229827404022e-09,0.0165985096246004,-0.0001450527430279,1
350208,0.0376355220178084,1700.0,3.3760443329811095e-10,0.0315975397825241,-0.0001459827932194,1
352256,0.0137010423335595,1710.0,-4.016328603029251e-10,0.0049718962982296,-0.0001475192299039,1
354304,0.0408511119559989,1720.0,-5.849869921803475e-10,0.0008988484041765,-0.0001487569310484,1
356352,0.0108238044786958,1730.0,2.741580829024315e-09,0.0019377428106963,-0.0001505590949818,1
358400,0.1616742757614702,1740.0,1.3096723705530167e-09,0.1374839842319488,-0.0001564587279062,1
360448,0.0252975441744638,1750.0,-1.7025740817189215e-09,0.0451096929609775,-0.0001535186291221,1
362496,0.0328307485840923,1760.0,-1.219683326780796e-07,0.0102483881637454,-0.0001605423401997,1
364544,0.0109909540522494,1770.0,-5.529727786779404e-10,0.0230659320950508,-0.0001552941148474,1
366592,0.0980165981149184,1780.0,1.938315108418464e-09,0.0271270554512739,-0.0001568692274304,1
368640,0.0366244075237773,1790.0,6.053596735000611e-10,0.0383309312164783,-0.0001591498394191,1
370688,0.0670535055396612,1800.0,-1.1961674317717552e-08,0.0130945425480604,-0.0001656055805142,1
372736,0.0218699678549455,1810.0,-1.271837390959263e-09,0.0133016156032681,-0.0001620327875571,1
374784,0.0082440654213314,1820.0,4.487810656428337e-09,0.0023604142479598,-0.0001645024303797,1
376832,0.0899208306043874,1830.0,-9.447103366255761e-09,0.0677418112754821,-0.0001738156539431,1
378880,0.0170131847513403,1840.0,-2.8554757591336964e-06,0.0038459750358015,-0.0001963901619092,1
380928,0.0043846550954185,1850.0,-3.760214895009994e-09,0.005999497603625,-0.0001702389674392,1
382976,0.0752155905764084,1860.0,-1.9685830920934676e-08,0.0355957262217998,-0.0001926634120536,1
385024,0.0090040586035684,1870.0,-1.4144461601972582e-08,0.0052326889708638,-0.0001840441833337,1
387072,0.0097878082263378,1880.0,9.313225746154783e-10,0.0015683399979025,-0.0001872133641882,1
389120,0.0360502446739701,1890.0,-1.327134668827057e-09,0.010978503152728,-0.0001924322248669,1
