rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
256.0,550912,0.0,269,2304,-2.1,239,0.0024410081095993,3.0035153031349183e-09,0.0118756930627569,0.2,2680.0,-7.848381237636204e-05,0.0,0.5149421691894531,0.0001627839999999,0.0,1,0.0003,5e-05
256.0,552960,0.0,270,2313,-2.2,239,0.0110816732048988,-5.826586857438087e-09,0.0102906952628472,0.2,2690.0,-8.19698944724223e-05,0.0,0.7402923703193665,0.0001622719999999,0.0,1,0.0003,5e-05
256.0,555008,0.0,271,2321,-2.32,239,0.0383939929306507,0.0,0.0588876425899798,0.2,2700.0,-8.248352851296659e-05,0.0,0.4508329033851623,0.0001617599999999,0.0,1,0.0003,5e-05
256.0,557056,0.0,272,2329,-2.34,239,0.0148981604725122,3.2887328416109087e-10,0.0574487062229309,0.2,2710.0,-8.308478618346271e-05,0.0,0.6927688121795654,0.0001612479999999,0.0,1,0.0003,5e-05
256.0,559104,0.0,273,2338,-2.24,239,0.0046027735807001,-9.458744898438454e-10,0.058126528984576,0.2,2720.0,-8.479267735310714e-05,0.0,0.6194266080856323,0.0001607359999999,0.0,1,0.0003,5e-05
256.0,561152,0.0,274,2346,-2.3,239,0.005881835706532,2.019805833697319e-09,0.0150027112673342,0.2,2730.0,-8.315556233355892e-05,0.0,0.5365052223205566,0.0001602239999999,0.0,1,0.0003,5e-05
256.0,563200,0.0,275,2355,-2.46,239,0.0243293978273868,-6.83940015733242e-09,0.0313351901240821,0.2,2740.0,-8.527026011506678e-05,0.0,0.5531175136566162,0.0001597119999999,0.0,1,0.0003,5e-05
256.0,565248,0.0,276,2363,-2.44,239,0.0870124995708465,3.8417056202888487e-10,0.0492706115373948,0.2,2750.0,-8.614165544713614e-05,0.0,0.6266353130340576,0.0001591999999999,0.0,1,0.0003,5e-05
256.0,567296,0.0,277,2371,-2.6,239,0.0057694409042596,-6.984919309616089e-10,0.013689704101489,0.2,2760.0,-8.580740313846036e-05,0.0,0.6258435249328613,0.0001586879999999,0.0,1,0.0003,5e-05
256.0,569344,0.0,278,2380,-2.56,239,0.0159732978790998,-2.2700987756252286e-10,0.1593622033600695,0.2,2770.0,-8.703892481207732e-05,0.0,0.5754214525222778,0.0001581759999999,0.0,1,0.0003,5e-05
256.0,571392,0.0,279,2388,-2.56,239,0.0013568480499088,-2.019805833697319e-09,0.0147336204157909,0.2,2780.0,-9.044471989909652e-05,0.0,0.6201486587524414,0.000157664,0.0,1,0.0003,5e-05
256.0,573440,0.0,280,2396,-2.46,239,0.0026566726155579,-2.6577617973089223e-08,0.0015723172394018,0.2,2790.0,-9.16599434276577e-05,0.0,0.744907557964325,0.0001571519999999,0.0,1,0.0003,5e-05
256.0,575488,0.0,281,2404,-2.42,239,0.0100626004859805,-1.3300450518727303e-09,0.0121429879232891,0.2,2800.0,-9.360974245282705e-05,0.0,0.547186553478241,0.00015664,0.0,1,0.0003,5e-05
256.0,577536,0.0,282,2413,-2.44,239,0.0008241406758315,3.1644594855606555e-08,0.0107914528485707,0.2,2810.0,-9.839567219387392e-05,0.0,0.7458255290985107,0.0001561279999999,0.0,1,0.0003,5e-05
256.0,579584,0.0,283,2421,-2.46,239,0.0079130511730909,1.699663698673248e-09,0.0312313908041687,0.2,2820.0,-0.0001008788590297,0.0,0.6080900430679321,0.0001556159999999,0.0,1,0.0003,5e-05
256.0,581632,0.0,284,2429,-2.42,239,0.0111165028065443,-1.565786078572273e-09,0.0355832453657058,0.2,2830.0,-0.0001038576076098,0.0,0.7487702965736389,0.0001551039999999,0.0,1,0.0003,5e-05
256.0,583680,0.0,285,2438,-2.52,239,0.0337732806801795,1.0913936421275139e-10,0.069958087199484,0.2,2840.0,-0.0001048502444064,0.0,0.6531432867050171,0.0001545919999999,0.0,1,0.0003,5e-05
256.0,585728,0.0,286,2446,-2.6,239,0.0047919955104589,-9.022187441587447e-10,0.0326633602724541,0.2,2850.0,-0.0001037058221299,0.0,0.8038570880889893,0.00015408,0.0,1,0.0003,5e-05
256.0,587776,0.0,287,2454,-2.7,239,0.0263777133077383,-5.566107574850321e-10,0.0556159737810958,0.2,2860.0,-0.0001045209581207,0.0,0.6860093474388123,0.0001535679999999,0.0,1,0.0003,5e-05
256.0,589824,0.0,288,2462,-2.66,239,0.0755493715405464,9.255018085241317e-10,0.0946120453416369,0.2,2870.0,-0.0001054953414495,0.0,0.6970546245574951,0.000153056,0.0,1,0.0003,5e-05
256.0,591872,0.0,289,2471,-2.5,239,0.0174568109214305,4.233152139931917e-09,0.0407157092355191,0.2,2880.0,-0.0001046298137225,0.0,0.5032294392585754,0.0001525439999999,0.0,1,0.0003,5e-05
256.0,593920,0.0,290,2479,-2.56,239,0.0041974131017923,-6.437039701268077e-09,0.0161232749273949,0.2,2890.0,-0.0001071831181434,0.0,0.6845031976699829,0.000152032,0.0,1,0.0003,5e-05
256.0,595968,0.0,291,2487,-2.56,239,0.0013830695534124,2.703745849430561e-09,0.1478597769280895,0.2,2900.0,-0.0001114451964895,0.0,0.3614494800567627,0.0001515199999999,0.0,1,0.0003,5e-05
256.0,598016,0.0,292,2495,-2.58,239,0.0088843954727053,-4.656612873077393e-10,0.0159839945394196,0.2,2910.0,-0.0001110832472477,0.0,0.4598903656005859,0.0001510079999999,0.0,1,0.0003,5e-05
256.0,600064,0.0,293,2503,-2.62,239,0.0151681518182158,-7.878406904637813e-09,0.0198053547515883,0.2,2920.0,-0.0001118139432037,0.0,0.6376113295555115,0.000150496,0.0,1,0.0003,5e-05
