time/total_timesteps,train/value_loss,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,phase
124928,0.0371059378977406,-0.000366298337758,0.0039745792746543,-1.2596137821674349e-08,600.0,1
126976,0.1489086268833489,-0.0003711194392963,0.0392242483794689,5.807669367641211e-09,610.0,1
129024,0.1180549731187056,-0.0003705132829054,0.0688200891017913,4.889443516731261e-10,620.0,1
131072,0.2813081595464609,-0.0003836286214209,0.2145317047834396,5.1164533942937854e-09,630.0,1
133120,0.118935399629845,-0.000387832047636,0.0927065908908844,-1.3579847291111948e-08,640.0,1
135168,0.0316393137250088,-0.0003910143994289,0.0059062470681965,1.7127604223787783e-09,650.0,1
137216,0.0210426640633841,-0.00039733724916,0.0039204591885209,1.4435499906539915e-09,660.0,1
139264,0.094096927868668,-0.0004042652355565,0.1227075979113578,-4.48198989033699e-09,670.0,1
141312,0.2958171783353464,-0.0004088097943167,0.2242671847343444,5.7334545999765404e-09,680.0,1
143360,0.2168556161108426,-0.000418046262348,0.1312188506126403,1.0477378964424134e-10,690.0,1
145408,0.179804967099335,-0.0004305556736653,0.01190194953233,2.0954757928848267e-10,700.0,1
147456,0.0210758367495145,-0.0004347164933278,0.0146055882796645,-3.2829120755195613e-09,710.0,1
149504,0.0045226754240616,-0.0004451754084584,0.00410219701007,-9.04256012290716e-09,720.0,1
151552,0.4886008494650014,-0.0004575755898258,0.23262719810009,1.8742866814136507e-09,730.0,1
153600,0.0836072320005769,-0.0006335343583486,0.0871056541800499,-7.648486644029618e-09,740.0,1
155648,0.0440298584134325,-0.0004818757955945,0.0095253568142652,1.4028046280145643e-08,750.0,1
157696,0.1838606329547474,-0.0005082194424176,0.1036475971341133,-2.8754584491252902e-09,760.0,1
159744,0.0305436417675082,-0.0005245519518211,0.0328382775187492,-5.424953997135162e-09,770.0,1
161792,0.2416190169227775,-0.0005490274917974,0.1134396716952323,-1.5345285646617416e-07,780.0,1
163840,0.0492644893980468,-0.0005721324952901,0.0255724769085645,-2.3719621822237972e-08,790.0,1
165888,0.0531770350748047,-0.0005872205983905,0.0004367862129583,-6.158370524644851e-09,800.0,1
167936,0.0429326218218193,-0.0002934423464466,0.000402840290917,-0.0010271298757288,810.0,1
169984,0.0747677901854331,-0.0002559763866884,0.0075095756910741,-4.068715497851372e-09,820.0,1
172032,0.1663877445273101,-0.0002600918807729,0.023278247565031,-6.28642737865448e-10,830.0,1
