time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/loss,rollout/success_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
317,572,146061,0.05,255.32,36490,-13.590000000000002,4.666666666666667e-05,0.0351630076766014,0.01,459,3,4.666666666666667e-05,100000
319,576,147085,0.05,255.32,36746,-13.820000000000004,4.666666666666667e-05,0.0532780215144157,0.01,459,3,4.666666666666667e-05,100000
322,580,148109,0.05,255.32,37002,-13.798000000000002,4.666666666666667e-05,0.0024059026036411,0.01,459,3,4.666666666666667e-05,100000
324,584,149133,0.05,255.32,37258,-13.854000000000005,4.666666666666667e-05,0.0068812891840934,0.01,459,3,4.666666666666667e-05,100000
326,588,150157,0.05,255.32,37514,-13.898,4.666666666666667e-05,0.0273912269622087,0.01,459,3,4.666666666666667e-05,100000
329,592,151181,0.05,255.32,37770,-13.672,4.666666666666667e-05,0.0020091892220079,0.01,459,3,4.666666666666667e-05,100000
331,596,152205,0.05,255.32,38026,-14.068,4.666666666666667e-05,0.0295338835567235,0.01,459,3,4.666666666666667e-05,100000
333,600,153229,0.05,255.32,38282,-14.143999999999998,4.666666666666667e-05,0.054964579641819,0.01,459,3,4.666666666666667e-05,100000
336,604,154253,0.05,255.32,38538,-14.546,4.666666666666667e-05,0.0561983585357666,0.01,458,3,4.666666666666667e-05,100000
338,608,155277,0.05,255.32,38794,-14.336,4.666666666666667e-05,0.0031105929519981,0.01,458,3,4.666666666666667e-05,100000
340,612,156301,0.05,255.32,39050,-14.586000000000004,4.666666666666667e-05,0.0591842047870159,0.01,458,3,4.666666666666667e-05,100000
343,616,157325,0.05,255.32,39306,-14.374000000000002,4.666666666666667e-05,0.0575276091694831,0.01,458,3,4.666666666666667e-05,100000
346,620,158349,0.05,255.32,39562,-14.6,4.666666666666667e-05,0.0020785070955753,0.01,457,3,4.666666666666667e-05,100000
349,624,159373,0.05,256.0,39818,-15.621999999999998,4.666666666666667e-05,0.0021061399020254,0.0,456,3,4.666666666666667e-05,100000
351,628,160397,0.05,256.0,40074,-15.467999999999996,4.666666666666667e-05,0.0276490841060876,0.0,455,3,4.666666666666667e-05,100000
354,632,161421,0.05,256.0,40330,-15.282,4.666666666666667e-05,0.0014509698376059,0.0,455,3,4.666666666666667e-05,100000
356,636,162445,0.05,256.0,40586,-15.124,4.666666666666667e-05,0.0019161945674568,0.0,455,3,4.666666666666667e-05,100000
359,640,163469,0.05,256.0,40842,-15.008000000000004,4.666666666666667e-05,0.0017906825523823,0.0,455,3,4.666666666666667e-05,100000
361,644,164493,0.05,256.0,41098,-14.977999999999998,4.666666666666667e-05,0.0308243874460458,0.0,454,3,4.666666666666667e-05,100000
364,648,165517,0.05,256.0,41354,-14.82,4.666666666666667e-05,0.0011721055489033,0.0,454,3,4.666666666666667e-05,100000
366,652,166541,0.05,256.0,41610,-14.82,4.666666666666667e-05,0.0584153905510902,0.0,454,3,4.666666666666667e-05,100000
368,656,167565,0.05,256.0,41866,-14.706,4.666666666666667e-05,0.0011770201381295,0.0,454,3,4.666666666666667e-05,100000
371,660,168589,0.05,256.0,42122,-14.956,4.666666666666667e-05,0.076450228691101,0.0,453,3,4.666666666666667e-05,100000
373,664,169613,0.05,256.0,42378,-14.722,4.666666666666667e-05,0.0295339561998844,0.0,453,3,4.666666666666667e-05,100000
376,668,170637,0.05,256.0,42634,-14.942,4.666666666666667e-05,0.027016682550311,0.0,453,3,4.666666666666667e-05,100000
378,672,171661,0.05,256.0,42890,-14.83,4.666666666666667e-05,0.0326020419597625,0.0,453,3,4.666666666666667e-05,100000
