time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,phase
96256,0.0778761445384589,460.0,-1.953565515577793e-07,-0.0005923845856159,0.001172344200313,1
98304,0.4660393165017013,470.0,-7.078051567077636e-09,-0.0006120833015302,0.0030817920342087,1
100352,0.0487807593337493,480.0,-3.6309938877820966e-08,-0.0005881322118511,0.0001149591989815,1
102400,0.137400359424646,490.0,-0.0006103858002461,-0.00040975388074,0.1073490604758262,1
104448,0.2278864510226412,500.0,-1.0262010619044305e-08,-0.0003974069222749,0.0081712743267416,1
106496,0.2177934045321308,510.0,9.080395102500915e-10,-0.0003595929269067,0.3133029341697693,1
108544,0.2305609441536944,520.0,-4.854518920183182e-09,-0.0003680750654893,0.0949017405509948,1
110592,0.1358427659975859,530.0,-6.577465683221817e-09,-0.00036396375217,0.1381888091564178,1
112640,0.0602810161855813,540.0,4.4004991650581365e-09,-0.0003701666784763,0.1159501075744628,1
114688,0.2433161651970294,550.0,7.101334631443022e-10,-0.0003689918808959,0.0099138766527175,1
116736,0.3019877073646057,560.0,1.3969838619232178e-09,-0.0003757268703338,0.6725452542304993,1
118784,0.0310729723823897,570.0,-2.6990892365574836e-08,-0.0003832318423519,0.0174716655164957,1
120832,0.1447882374413893,580.0,-7.933704182505608e-09,-0.0003738554965821,0.0003803459694609,1
122880,0.0033534970629261,590.0,4.924368113279342e-09,-0.0003737131875823,0.0014792552683502,1
124928,0.0025568225424649,600.0,-7.0664100348949436e-09,-0.0003803721079748,0.0003437199338804,1
126976,0.2604838126411778,610.0,-1.4726538211107252e-09,-0.0003824503852229,0.070123940706253,1
129024,0.0057232889768783,620.0,-9.627547115087511e-09,-0.0003817117842118,0.0028583719395101,1
131072,0.2338713364501018,630.0,7.171183824539185e-09,-0.0003883849683916,0.1362846940755844,1
133120,0.2095561017602449,640.0,-3.859167918562889e-09,-0.00039110920261,0.0985779240727424,1
135168,0.0322328440583078,650.0,-1.702865120023489e-08,-0.0003899796716723,0.0023506637662649,1
137216,0.0305184773505516,660.0,-1.9467552192509177e-08,-0.000390624026113,0.0001003581055556,1
139264,0.1094918247006717,670.0,-3.2511889003217224e-08,-0.0003920673229004,0.0814878940582275,1
141312,0.0050897036634523,680.0,-1.5203841030597686e-08,-0.0003941306153137,0.0019204615382477,1
143360,0.0231352391272594,690.0,-5.23286871612072e-09,-0.0004025132202514,0.0158213153481483,1
145408,0.4399270504683955,700.0,5.320180207490921e-09,-0.0004132276011659,0.3640002608299255,1
147456,0.1100519368721506,710.0,3.710738383233547e-09,-0.0004069097682076,0.1015394404530525,1
149504,0.0054597863320509,720.0,-2.759043127298355e-08,-0.0004109226276341,0.0147950612008571,1
151552,1.1337362268939617,730.0,1.094304025173187e-09,-0.0004155757324042,1.043098211288452,1
153600,0.0454626648208432,740.0,-2.2742897272109987e-07,-0.0004817346823983,0.0926487073302269,1
155648,0.1136741838907255,750.0,3.5739503800868983e-09,-0.0004258609526004,0.0006377473473548,1
157696,0.5090616858651629,760.0,-1.4901161193847655e-09,-0.0004407801923662,0.4401228129863739,1
159744,0.0023531509963504,770.0,5.227047950029373e-09,-0.0004390725895063,0.001441310159862,1
161792,0.0726020783215062,780.0,-4.228786565363407e-08,-0.000449043226763,0.0588150918483734,1
163840,0.1497605533339083,790.0,1.938315108418464e-09,-0.0004544144783722,0.1512477248907089,1
165888,0.0016747144026339,800.0,5.908077582716941e-10,-0.0004538003679044,1.1301497579552232e-05,1
167936,0.0034535917166067,810.0,-0.0010176524083362,-0.0002392638049059,1.158497889264254e-05,1
169984,0.0308038506778757,820.0,-4.569301381707191e-09,-0.0002107729771523,0.000395766692236,1
172032,0.3806453984405379,830.0,1.6298145055770872e-09,-0.0002150880765839,0.1077859848737716,1
174080,0.5696581422685995,840.0,-9.546056389808654e-10,-0.000217605374928,0.368831604719162,1
176128,0.1360879585648945,850.0,-2.240994945168495e-09,-0.0002140950728062,0.1351360380649566,1
178176,0.5892684137990727,860.0,-5.925539880990982e-09,-0.0002188237094742,0.2631082832813263,1
180224,0.0044442949547601,870.0,-2.2520544007420542e-08,-0.0002185892943089,0.0007208830793388,1
182272,0.0877394532661128,880.0,-2.0256265997886656e-09,-0.0002178823131544,0.0003706230490934,1
184320,0.134502032212913,890.0,-0.0004001742461696,-0.0001604272973054,0.0774554908275604,1
186368,0.1470159129573403,900.0,9.255018085241317e-10,-0.0001543741451314,0.1795431673526764,1
188416,0.0010155597509083,910.0,-2.159504219889641e-09,-0.0001550821671116,1.588398481544573e-05,1
190464,0.1125193101319382,920.0,8.096685633063316e-09,-0.0001557672972921,0.0017363760853186,1
192512,0.0031040085541462,930.0,-5.905167199671269e-08,-0.0001582991208124,0.000462442432763,1
194560,0.1284852275777666,940.0,-8.754432201385498e-09,-0.0001565567405123,0.0002879617386497,1
