time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,phase
389120,0.0106929782778024,1.0186340659856794e-09,0.0274739761312957,1890.0,-4.876593438893906e-05,1
391168,0.0016345556359738,-3.4924596548080444e-10,0.0063787083287024,1900.0,-4.924344766550348e-05,1
393216,0.0138191143050789,3.7252902984619143e-10,0.089113648343482,1910.0,-4.858095626332215e-05,1
395264,0.0035058066714555,-1.1350493878126142e-09,0.021881145660518,1920.0,-4.9489387401990824e-05,1
397312,0.0350072123110294,-4.5547494664788247e-10,0.0320156912908714,1930.0,-4.833144075746532e-05,1
399360,0.0084572127088904,-1.4551915228366852e-10,0.0090026160345587,1940.0,-4.9849043989524944e-05,1
401408,0.0017676384886726,-2.7939677238464355e-09,0.0087634266985332,1950.0,-4.827019170079438e-05,1
403456,0.0149834770709276,-1.455191522836685e-09,0.0508727030493901,1960.0,-5.068031641712878e-05,1
405504,0.0115352068096399,-2.5884946808218955e-08,0.0317554654378909,1970.0,-5.194505920371739e-05,1
407552,0.0085080433636903,1.8917489796876907e-10,0.0452389197889715,1980.0,-4.91145759497158e-05,1
409600,0.0482400171458721,5.820766091346741e-10,0.0829983034338511,1990.0,-5.0577999354572965e-05,1
411648,0.0110883368179202,1.5788828022778032e-09,0.0325110023346496,2000.0,-5.041700487709022e-05,1
413696,0.0124138565734028,-3.5215634852647775e-10,0.0215198352918378,2010.0,-5.073158354207408e-05,1
415744,0.0262636616826057,1.0317307896912099e-09,0.0789638356131035,2020.0,-5.098017268210242e-05,1
417792,0.0136827426031231,1.0477378964424134e-10,0.0218062573534552,2030.0,-5.03234353800508e-05,1
419840,0.000750190753024,-8.294591680169106e-10,0.0095373695457965,2040.0,-5.151750519871712e-05,1
421888,0.0808081179857254,5.238689482212067e-11,0.0768197416095063,2050.0,-4.9595976179261925e-05,1
423936,0.0535881705582141,2.037268131971359e-10,0.0981031894800253,2060.0,-5.059454988440848e-05,1
425984,0.0115100415423512,-8.73114913702011e-10,0.0663925708522583,2070.0,-5.032505814597243e-05,1
428032,0.0038725053891539,-2.023443812504411e-09,0.0514857482543448,2080.0,-5.101894294057274e-05,1
430080,0.0057518268004059,-1.1219526641070842e-09,0.0217439558600744,2090.0,-5.167641807020118e-05,1
432128,0.0169771052896976,-2.5029294192790984e-10,0.0199491812118139,2100.0,-5.259092363303352e-05,1
434176,0.0680975466966629,-4.284083843231201e-09,0.070919861033326,2110.0,-5.132012051944912e-05,1
436224,0.0312376301735639,-1.7986167222261426e-09,0.079508011706639,2120.0,-5.2656447860499614e-05,1
438272,0.0291183907538652,-2.9103830456733704e-10,0.0501518485165434,2130.0,-5.246063697086356e-05,1
440320,0.0069029731675982,-2.5262124836444854e-09,0.0233680632110917,2140.0,-5.232808157416002e-05,1
442368,0.0014650631928816,-3.859167918562889e-09,0.007188482890524,2150.0,-5.317616719366924e-05,1
444416,0.0019828469958156,1.7404090613126752e-09,0.0238137983244087,2160.0,-5.2805948371315026e-05,1
446464,0.0040861470624804,-6.053596735000611e-10,0.0281570797379572,2170.0,-5.319603496900527e-05,1
