time/fps,rollout/ep_len_mean,rollout/success_rate,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
239,256.0,0.0,166,339968,1419,-2.34,-5.139939044056519e-05,0.0149992597251184,0.0009147570235654,0.2,0.0002155199999999,1650.0,1.1231168173253536e-08,0.0,0.1088323593139648,0.0,1,0.0003,5e-05
239,256.0,0.0,167,342016,1428,-2.18,-5.154461596248439e-05,0.0302160234603434,0.0107772555202245,0.2,0.0002150079999999,1660.0,9.83709469437599e-10,0.0,0.273755669593811,0.0,1,0.0003,5e-05
239,256.0,0.0,168,344064,1436,-2.36,-5.125765615048295e-05,0.0427823580102995,0.002517519518733,0.2,0.0002144959999999,1670.0,-1.0925577953457832e-08,0.0,0.0097166299819946,0.0,1,0.0003,5e-05
239,256.0,0.0,169,346112,1445,-2.46,-5.164503663763753e-05,0.3278257511090487,0.0438753589987754,0.2,0.000213984,1680.0,-1.204898580908775e-09,0.0,0.0486056208610534,0.0,1,0.0003,5e-05
239,256.0,0.0,170,348160,1453,-2.48,-5.1635670934047086e-05,0.1692765666070045,0.0283663664013147,0.2,0.0002134719999999,1690.0,-8.149072527885436e-10,0.0,0.175036609172821,0.0,1,0.0003,5e-05
239,256.0,0.0,171,350208,1462,-2.6,-5.155524822839652e-05,0.1130491857649758,0.1413534879684448,0.2,0.0002129599999999,1700.0,-1.3154931366443635e-09,0.0,0.1648662686347961,0.0,1,0.0003,5e-05
239,256.0,0.0,172,352256,1471,-2.86,-5.195205212658038e-05,0.1220584476715885,0.0481397621333599,0.2,0.0002124479999999,1710.0,-1.5948899090290067e-09,0.0,0.0205237865447998,0.0,1,0.0003,5e-05
239,256.0,0.0,173,354304,1480,-2.74,-5.212109026615507e-05,0.1906913217186229,0.0182497352361679,0.2,0.0002119359999999,1720.0,-6.8626832216978085e-09,0.0,0.0102046728134155,0.0,1,0.0003,5e-05
239,256.0,0.0,174,356352,1489,-2.8,-5.28535541434394e-05,0.0210372084987284,0.0228115413337945,0.2,0.000211424,1730.0,5.6810677051544194e-09,0.0,0.1188304424285888,0.0,1,0.0003,5e-05
239,256.0,0.0,175,358400,1497,-2.9,-5.304653382154356e-05,0.1686456236115191,0.0057791150175035,0.2,0.0002109119999999,1740.0,-1.4726538211107252e-09,0.0,-0.0085079669952392,0.0,1,0.0003,5e-05
239,256.0,0.0,176,360448,1506,-2.94,-5.477142476593144e-05,0.1570293217548169,0.1632928848266601,0.2,0.0002103999999999,1750.0,-1.5017576515674591e-09,0.0,0.0030442476272583,0.0,1,0.0003,5e-05
239,256.0,0.0,177,362496,1515,-3.0,-5.758441348007182e-05,0.104515891812116,0.0218379274010658,0.2,0.0002098879999999,1760.0,-9.895302355289461e-09,-7.21775e-09,0.006235659122467,0.0,1,0.0003,5e-05
