time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
698368,2848,0.0,341,-2.04,245,256.0,0.0,-0.00014781806276,3400.0,0.8765051364898682,0.2,0.0,0.0160051680111791,0.0146677996963262,0.00012592,-7.290509529411793e-09,1,0.0003,5e-05
700416,2857,0.0,342,-2.0840000000000005,245,256.0,0.0,-0.0001428867066351,3410.0,0.6627233028411865,0.2,0.0,0.0716549969394691,0.096123605966568,0.000125408,7.306807674467563e-08,1,0.0003,5e-05
702464,2865,0.0,343,-2.0400000000000005,245,256.0,0.0,-0.0001435933301763,3420.0,0.3087512850761413,0.2,0.0,0.3589552394347265,0.27691650390625,0.000124896,4.71482053399086e-10,1,0.0003,5e-05
704512,2873,0.0,344,-1.8,245,256.0,0.0,-0.0001475606200983,3430.0,0.1601583361625671,0.2,0.0,0.6525008914759383,0.1773636192083358,0.0001243839999999,2.514570951461792e-09,1,0.0003,5e-05
706560,2881,0.0,345,-1.744,245,256.0,0.0,-0.0001439564310203,3440.0,0.8141319155693054,0.2,0.0,0.0651976030087098,0.005005216691643,0.0001238719999999,1.7316779121756552e-09,1,0.0003,5e-05
708608,2889,0.0,346,-1.464,245,256.0,0.0,-0.000145706427611,3450.0,0.2547372579574585,0.2,0.0,0.4564705591299571,0.425268679857254,0.0001233599999999,1.140870153903961e-09,1,0.0003,5e-05
710656,2898,0.0,347,-1.236,245,256.0,0.0,-0.0001469850789362,3460.0,0.8674756288528442,0.2,0.0,0.0445258319290587,0.0031491222325712,0.0001228479999999,6.111804395914078e-11,1,0.0003,5e-05
712704,2906,0.0,348,-1.1500000000000004,245,256.0,0.0,-0.0001501887991253,3470.0,0.4307851791381836,0.2,0.0,0.0434195289410126,0.0027613469865173,0.000122336,-1.1315569281578064e-08,1,0.0003,5e-05
714752,2914,0.0,349,-0.8140000000000002,245,256.0,0.0,-0.0001476751140216,3480.0,0.9384407997131348,0.2,0.0,0.0039632353727938,0.0044017438776791,0.0001218239999999,2.805609256029129e-09,1,0.0003,5e-05
716800,2922,0.0,350,-0.6799999999999998,245,256.0,0.0,-0.0001467644056901,3490.0,0.9227091670036316,0.2,0.0,0.0105851063723093,0.0073660905472934,0.0001213119999999,1.1763768270611764e-08,1,0.0003,5e-05
718848,2931,0.0,351,-0.902,245,256.0,0.0,-0.0001484689370045,3500.0,0.6272093057632446,0.2,0.0,0.0543226239649811,0.0043599554337561,0.0001207999999999,2.179876901209354e-09,1,0.0003,5e-05
720896,2939,0.0,352,-0.7739999999999999,245,256.0,0.0,-0.0001475915310948,3510.0,0.454491913318634,0.2,0.0,0.4427867088961648,0.2813032269477844,0.0001202879999999,-2.5029294192790984e-10,1,0.0003,5e-05
722944,2947,0.0,353,-0.942,245,256.0,0.0,-0.0001476024008297,3520.0,0.9553658366203308,0.2,0.0,0.0063057199004106,0.0013445134973153,0.0001197759999999,2.9685907065868376e-10,1,0.0003,5e-05
724992,2955,0.0,354,-0.6539999999999999,245,256.0,0.0,-0.0001484766715293,3530.0,0.7005116939544678,0.2,0.0,0.0859682117596094,0.0657877102494239,0.0001192639999999,-5.355104804039e-10,1,0.0003,5e-05
727040,2964,0.0,355,-0.634,245,256.0,0.0,-0.0001484003329096,3540.0,0.8917937874794006,0.2,0.0,0.0149049866318819,0.0002470768813509,0.0001187519999999,4.295725375413894e-09,1,0.0003,5e-05
729088,2972,0.0,356,-0.614,245,256.0,0.0,-0.000149142381997,3550.0,0.5396546721458435,0.2,0.0,0.0526336056944273,0.0036150240339338,0.0001182399999999,-1.3096723705530167e-09,1,0.0003,5e-05
731136,2980,0.0,357,-0.908,245,256.0,0.0,-0.000150669530376,3560.0,0.338201105594635,0.2,0.0,0.0687241883086244,0.0030897175893187,0.000117728,-7.188646122813225e-09,1,0.0003,5e-05
733184,2988,0.0,358,-0.768,245,256.0,0.0,-0.0001496090297223,3570.0,0.1591557264328003,0.2,0.0,0.475108670501504,0.0355780012905597,0.0001172159999999,2.9103830456733704e-11,1,0.0003,5e-05
735232,2996,0.0,359,-0.632,245,256.0,0.0,-0.0001527880671346,3580.0,0.91978520154953,0.2,0.0,0.0042423473348208,0.0085174506530165,0.000116704,-3.101886250078678e-08,1,0.0003,5e-05
