time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
180224,-0.0003685115778353,0.0882756585320748,0.0025106330867856,870.0,4.074536263942718e-10,1
182272,-0.0004035676509374,0.1123990450025303,0.0964830368757247,880.0,-1.935986801981926e-08,1
184320,-0.0002277428662637,0.3145131123950705,0.2971125245094299,890.0,-0.0003813829680439,1
186368,-0.0001935691139806,0.314310390362516,0.1701109856367111,900.0,-5.937181413173674e-10,1
188416,-0.0001875408963314,0.1262455206306185,0.065616950392723,910.0,9.650830179452897e-09,1
190464,-0.0001906877036162,0.0040095878243846,0.003892668755725,920.0,8.754432201385498e-09,1
192512,-0.0001921801329444,0.344106487953104,0.0825171172618866,930.0,9.313225746154786e-11,1
194560,-0.0002240178600914,0.2298888483084738,0.0054509071633219,940.0,-3.4191180020570754e-08,1
196608,-0.0002185295714298,0.22864965419285,0.0562422089278698,950.0,-6.495974957942962e-09,1
198656,-0.0001973917476789,0.0659917030970973,0.0254146978259086,960.0,-2.706656232476234e-09,1
200704,-0.0002050900460744,0.1102008564193965,0.0165502894669771,970.0,-1.3387762010097504e-09,1
202752,-0.0002422355182716,0.0546278661011456,0.0078163249418139,980.0,-1.4866236597299576e-08,1
204800,-0.0002359965377763,0.3094541484839282,0.0866991281509399,990.0,-2.4924520403146743e-08,1
206848,-0.0002157406104743,0.2521534823201364,0.0086688641458749,1000.0,-3.771856427192688e-09,1
208896,-0.000217070508188,0.0938694878816022,0.0228366889059543,1010.0,6.82193785905838e-09,1
210944,-0.000221351457003,0.0324111263154918,0.0156001709401607,1020.0,9.313225746154783e-10,1
212992,-0.0002173495935494,0.0588012822707241,0.0317103713750839,1030.0,1.7834827303886412e-08,1
215040,-0.000224751065798,0.1435300777520751,0.0025416302960366,1040.0,-8.457573130726815e-09,1
217088,-0.0001218285401591,0.1991184765473008,0.0722691565752029,1050.0,-0.000850539538078,1
219136,-0.0001029693115924,0.0428140662992518,0.0093274600803852,1060.0,-1.5892146620899438e-08,1
221184,-0.0001021558890897,0.1179621587049041,0.0061121420003473,1070.0,-7.39237293601036e-10,1
223232,-0.0001046228699124,0.0816837104641308,0.0520810782909393,1080.0,-4.237517714500427e-09,1
225280,-0.0001034750543112,0.0827553445375088,0.0699734464287757,1090.0,8.172355592250824e-09,1
227328,-0.0001048315697516,0.0413905781049834,0.0110830971971154,1100.0,-1.0157236829400064e-08,1
229376,-0.0001389911143633,0.19848161219561,0.0875448286533355,1110.0,-2.171145752072334e-09,1
231424,-0.0001050553989443,0.1023886736453278,0.0998944640159607,1120.0,-5.378387868404389e-09,1
233472,-0.000104115731392,0.1592382541202823,0.1348976045846939,1130.0,3.640889190137386e-09,1
235520,-0.0001069069400728,0.1807177441834938,0.0504304356873035,1140.0,-1.1757947504520416e-09,1
237568,-0.0001073914156222,0.0264818912099144,0.0194213036447763,1150.0,-5.2212271839380274e-09,1
239616,-0.0001075937938367,0.1544449417793657,0.0109860794618725,1160.0,1.391163095831871e-09,1
241664,-0.0001044434031427,0.0375629609923635,0.0260353609919548,1170.0,-6.2282197177410126e-09,1
243712,-0.0001068870255039,0.1684875686260056,0.0035903370007872,1180.0,9.604264050722122e-09,1
245760,-0.0001105141451262,0.0467778912880021,0.0001883296354208,1190.0,2.2351741790771484e-09,1
247808,-6.159111476335965e-05,0.2169867844553664,0.0278515480458736,1200.0,-0.0002248952980153,1
249856,-4.6424208994721995e-05,0.0606147099060763,0.0558007955551147,1210.0,-3.271270543336868e-09,1
251904,-4.67251800273516e-05,0.00537993205171,0.0019927737303078,1220.0,-2.4476321414113043e-09,1
253952,-4.701952098002948e-05,0.249120188341476,0.1783712208271026,1230.0,1.629814505577087e-10,1
256000,-4.645983794944186e-05,0.0759836460463702,0.0357358492910862,1240.0,-6.402842700481415e-10,1
258048,-4.620843196789792e-05,0.0717381794536777,0.0854594707489013,1250.0,3.0850060284137725e-10,1
260096,-4.580546856232104e-05,0.1436212705797515,0.0765295550227165,1260.0,0.0,1
262144,-4.600067773026239e-05,0.1883762603218201,0.0696243643760681,1270.0,-5.820766091346741e-11,1
264192,-4.587652347254334e-05,0.1624437738966662,0.0208395086228847,1280.0,6.402842700481415e-10,1
266240,-4.686894617407233e-05,0.2703607701550936,0.1955441534519195,1290.0,3.748573362827301e-09,1
268288,-4.648757303584717e-05,0.1738924187957309,0.13754703104496,1300.0,-1.7462298274040222e-10,1
270336,-4.640953306989104e-05,0.19566829369287,0.106979101896286,1310.0,-5.762558430433274e-10,1
272384,-4.587558637467737e-05,0.0857829675951507,0.0007632587221451,1320.0,2.3283064365386963e-09,1
274432,-4.652185789382202e-05,0.1625228188087931,0.0799961909651756,1330.0,-9.89530235528946e-10,1
276480,-4.655354014175828e-05,0.0923255221743602,0.0098844598978757,1340.0,1.8626451492309571e-10,1
278528,-4.679440439758764e-05,0.2407845578214619,0.1240170001983642,1350.0,2.630986273288727e-09,1
280576,-5.231305731285829e-05,0.0507681289513129,0.0006121502956375,1360.0,-1.6065314412117003e-09,1
282624,-5.16989334300888e-05,0.0826526144024683,0.0075480174273252,1370.0,-1.7246929928660393e-08,1
284672,-4.6841356925142465e-05,0.1089419934185571,0.0109947007149457,1380.0,-9.220093488693238e-09,1
286720,-4.703554764091677e-05,0.0371293870373847,7.373507105512545e-05,1390.0,6.01867213845253e-09,1
288768,-4.702487840404501e-05,0.1332927791132533,0.096252717077732,1400.0,1.5948899090290067e-09,1
290816,-4.7166182002911225e-05,0.0882977425750141,0.027894789353013,1410.0,-9.173527359962465e-09,1
292864,-4.780424046657572e-05,0.0257149464450776,5.212462565395981e-05,1420.0,-5.366746336221695e-09,1
