rollout/success_rate,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
0.0208333333333333,12,254.79166666666663,94,24576,-108.26041666666669,261,2.5458850860595703,-0.0081935874477494,-0.0006371736526489,0.0046128626,6.30789600610733,0.000294368,-0.2529127614572644,0.2,0.055859375,110.0,1,0.0003,5e-05
0.02,13,254.84,102,26624,-97.674,260,4.912715435028076,-0.0075699162553064,1.537799835205078e-05,0.0017770785,8.372907960414887,0.0002938559999999,-0.1968809591606259,0.2,0.039892578125,120.0,1,0.0003,5e-05
0.02,14,254.84,110,28672,-83.64999999999998,260,2.5255184173583984,-0.0057627796893939,-0.0064547061920166,0.0011279065,5.25752774477005,0.0002933439999999,-0.1658380458131432,0.2,0.02119140625,130.0,1,0.0003,5e-05
0.02,15,254.84,118,30720,-70.922,260,1.5765711069107056,-0.004291018936783,0.0049840211868286,0.00088475196,3.969817207753658,0.000292832,-0.1302972415462136,0.2,0.020166015625,140.0,1,0.0003,5e-05
0.02,16,254.84,126,32768,-58.90599999999999,260,1.2185887098312378,-0.0049591822782531,0.0114223957061767,0.0010161508,2.761074203252792,0.00029232,-0.1079218533821404,0.2,0.0166015625,150.0,1,0.0003,5e-05
0.02,17,254.84,134,34816,-49.328,259,2.6048505306243896,-0.003158933360828,-0.0052677392959594,0.000795676,5.07069796025753,0.0002918079999999,-0.0825603448785841,0.2,0.01025390625,160.0,1,0.0003,5e-05
0.01,18,255.49,142,36864,-41.004,259,1.5322569608688354,-0.0036859456391539,-0.006443977355957,0.0024339668,4.687025648355484,0.0002912959999999,-0.0580187362153083,0.2,0.00849609375,170.0,1,0.0003,5e-05
0.01,19,255.49,150,38912,-33.876,259,0.1839677691459655,-0.0016217292344663,3.2186508178710938e-06,0.00047639207,1.161642257496715,0.000290784,-0.0371086829341948,0.2,0.00439453125,180.0,1,0.0003,5e-05
0.0,20,256.0,158,40960,-27.300000000000004,259,0.7241182923316956,-0.002344594488386,0.0111495852470397,0.00033692355,2.176112609356642,0.0002902719999999,-0.027633358282037,0.2,0.00400390625,190.0,1,0.0003,5e-05
0.0,21,256.0,166,43008,-22.420000000000005,258,0.2010852098464965,-0.0017096000839956,0.0097822546958923,0.00026262185,0.4714923151768744,0.0002897599999999,-0.0202161819208413,0.2,0.0025390625,200.0,1,0.0003,5e-05
0.0,22,256.0,174,45056,-17.572000000000003,258,0.5179662108421326,-0.0006692829774692,0.0120647549629211,7.002251e-05,1.0868165157735348,0.0002892479999999,-0.016063587157987,0.2,0.000732421875,210.0,1,0.0003,5e-05
0.0,23,256.0,182,47104,-13.978000000000003,258,0.0543043203651905,-0.0014713915588799,0.4558339118957519,0.0003090518,0.2220738896168768,0.0002887359999999,-0.0115664407145231,0.2,0.002001953125,220.0,1,0.0003,5e-05
0.0,24,256.0,190,49152,-10.313999999999998,258,0.017465766519308,-1.6938429325819014e-09,0.3330139517784118,-1.5716068e-08,0.1775986208347603,0.0002882239999999,-0.0102400626288726,0.2,0.0,230.0,1,0.0003,5e-05
0.0,25,256.0,198,51200,-8.094,258,0.007636081892997,-0.0011211595672648,-0.0181365013122558,0.00011732557,0.0753433649078942,0.0002877119999999,-0.0082680254243314,0.2,0.001416015625,240.0,1,0.0003,5e-05
0.0,26,256.0,206,53248,-6.227999999999997,258,0.018372319638729,-0.0004872945719398,0.216065764427185,4.911149e-05,0.1973825115012005,0.0002871999999999,-0.0063271588645875,0.2,0.0009765625,250.0,1,0.0003,5e-05
0.0,27,256.0,214,55296,-4.675999999999999,258,0.2243287563323974,-0.0008398570760618,0.0819813013076782,8.355765e-05,0.0960226602735929,0.0002866879999999,-0.0051647334650624,0.2,0.00078125,260.0,1,0.0003,5e-05
