time/episodes,time/total_timesteps,rollout/success_rate,rollout/exploration_rate,train/learning_rate,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,phase,phase_learning_rate,phase_buffer_size
620,158574,0.01,0.05,0.0001,-15.442000000000002,39618,332,254.92,476,0.0160456448793411,1,0.0001,200000
624,159598,0.01,0.05,0.0001,-15.402,39874,335,254.92,476,0.0457482784986496,1,0.0001,200000
628,160622,0.01,0.05,0.0001,-15.53,40130,337,254.92,476,0.0484343543648719,1,0.0001,200000
632,161646,0.01,0.05,0.0001,-15.698,40386,339,254.92,475,0.0752949491143226,1,0.0001,200000
636,162670,0.01,0.05,0.0001,-15.734000000000002,40642,341,254.92,475,0.0395182594656944,1,0.0001,200000
640,163694,0.01,0.05,0.0001,-16.036,40898,344,254.92,475,0.0423128753900527,1,0.0001,200000
644,164718,0.01,0.05,0.0001,-15.606000000000002,41154,346,254.92,475,0.027330694720149,1,0.0001,200000
648,165742,0.01,0.05,0.0001,-15.922,41410,348,254.92,475,0.0493001565337181,1,0.0001,200000
652,166766,0.01,0.05,0.0001,-15.934,41666,351,254.92,475,0.0428062155842781,1,0.0001,200000
656,167790,0.01,0.05,0.0001,-15.499999999999998,41922,353,254.92,474,0.061794463545084,1,0.0001,200000
660,168814,0.01,0.05,0.0001,-15.668,42178,355,254.92,474,0.0204299259930849,1,0.0001,200000
664,169838,0.01,0.05,0.0001,-15.45,42434,358,254.92,474,0.0151044614613056,1,0.0001,200000
668,170862,0.01,0.05,0.0001,-15.304000000000004,42690,360,254.92,473,0.0968478992581367,1,0.0001,200000
672,171886,0.01,0.05,0.0001,-15.286,42946,362,254.92,473,0.0406290777027606,1,0.0001,200000
676,172910,0.01,0.05,0.0001,-15.246,43202,365,254.92,473,0.0471682213246822,1,0.0001,200000
680,173934,0.01,0.05,0.0001,-15.280000000000005,43458,367,254.92,472,0.0435390658676624,1,0.0001,200000
684,174958,0.01,0.05,0.0001,-15.140000000000004,43714,370,254.92,472,0.0151574593037366,1,0.0001,200000
688,175982,0.01,0.05,0.0001,-15.119999999999996,43970,372,254.92,472,0.0769383236765861,1,0.0001,200000
692,177006,0.0,0.05,0.0001,-15.919999999999998,44226,375,256.0,471,0.0144591256976127,1,0.0001,200000
696,178030,0.0,0.05,0.0001,-15.614,44482,377,256.0,471,0.021115381270647,1,0.0001,200000
700,179054,0.0,0.05,0.0001,-15.66,44738,379,256.0,471,0.046197909861803,1,0.0001,200000
704,180078,0.0,0.05,0.0001,-16.16,44994,382,256.0,471,0.0507269725203514,1,0.0001,200000
708,181102,0.0,0.05,0.0001,-16.534000000000002,45250,384,256.0,471,0.0125320171937346,1,0.0001,200000
712,182126,0.0,0.05,0.0001,-16.930000000000003,45506,386,256.0,470,0.0466447211802005,1,0.0001,200000
716,183150,0.0,0.05,0.0001,-16.602,45762,389,256.0,470,0.0701934173703193,1,0.0001,200000
720,184174,0.0,0.05,0.0001,-16.976000000000003,46018,391,256.0,470,0.0137262679636478,1,0.0001,200000
724,185198,0.0,0.05,0.0001,-17.122000000000003,46274,393,256.0,470,0.0481991358101367,1,0.0001,200000
728,186222,0.0,0.05,0.0001,-16.85,46530,396,256.0,469,0.0150041915476322,1,0.0001,200000
732,187246,0.0,0.05,0.0001,-17.174,46786,399,256.0,468,0.0412215664982795,1,0.0001,200000
736,188270,0.0,0.05,0.0001,-17.344,47042,402,256.0,468,0.0213729254901409,1,0.0001,200000
740,189294,0.0,0.05,0.0001,-17.308,47298,404,256.0,468,0.0189055614173412,1,0.0001,200000
744,190318,0.0,0.05,0.0001,-17.518,47554,406,256.0,467,0.1126377582550048,1,0.0001,200000
748,191342,0.0,0.05,0.0001,-16.99,47810,409,256.0,467,0.01453407574445,1,0.0001,200000
752,192366,0.0,0.05,0.0001,-16.826,48066,411,256.0,467,0.0065102474763989,1,0.0001,200000
756,193390,0.0,0.05,0.0001,-17.218,48322,413,256.0,467,0.019514599815011,1,0.0001,200000
760,194414,0.0,0.05,0.0001,-17.171999999999997,48578,416,256.0,467,0.0072208340279757,1,0.0001,200000
764,195438,0.0,0.05,0.0001,-16.994,48834,418,256.0,467,0.0449328273534774,1,0.0001,200000
768,196462,0.0,0.05,0.0001,-16.959999999999997,49090,420,256.0,466,0.0676805675029754,1,0.0001,200000
772,197486,0.0,0.05,0.0001,-16.69,49346,423,256.0,466,0.0240672975778579,1,0.0001,200000
776,198510,0.0,0.05,0.0001,-16.972,49602,425,256.0,466,0.0509792044758796,1,0.0001,200000
780,199534,0.0,0.05,0.0001,-16.972,49858,427,256.0,466,0.0419411994516849,1,0.0001,200000
784,200558,0.0,0.05,0.0001,-16.854,50114,430,256.0,466,0.0441406965255737,1,0.0001,200000
